gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DDX11L1,5.710125469,0.99789304,0.983780962,1.014344736,0.310418284,0.541731561
WASH7P,1982.429541,-0.106155328,0.131246867,-0.808821804,0.418617652,0.645512172
LOC729737,262.6888655,-0.386155649,0.333726848,-1.157100939,0.247231123,0.470533897
LOC102725121,5.848517264,0.823616752,1.04846585,0.785544662,0.432134295,0.656926422
TGIF1,1817.92141,-1.096113976,0.172106033,-6.368829465,1.90E-10,4.89E-09
PRDX6,6268.605437,0.181823054,0.167953876,1.082577308,0.278996084,0.506694628
LOC101928626,3.491853112,0.331240303,1.011468203,0.327484643,0.743301356,0.877428128
CIC,1300.316782,0.177432533,0.257794774,0.688270479,0.491282468,0.704610906
LOC100133331,230.6816312,-0.480934433,0.333997711,-1.439933321,0.149886265,0.341539705
LOC100288069,214.2899258,-0.261143131,0.299104324,-0.87308377,0.38261742,0.614756063
FAM87B,31.08168366,0.244579953,0.345713137,0.707465024,0.479277541,0.696164046
LINC00115,71.87360402,-0.121891079,0.218680083,-0.557394514,0.577257913,0.768591505
LINC01128,462.168862,0.200151138,0.175364496,1.141343555,0.253726984,0.478167625
FAM41C,11.94842591,-0.983546265,0.644632641,-1.525746917,0.127072905,0.306690568
LINC02593,89.3523736,0.629831569,0.315679117,1.995163871,0.04602501,0.14836868
PLEC,8010.474935,-0.003680486,0.196804719,-0.018701209,0.985079464,0.995079659
PLEKHN1,267.8747809,-0.035171681,0.307149591,-0.114509941,0.908833567,0.958566685
MPP2,1569.747875,0.269963777,0.605711622,0.445696875,0.655816222,0.823396294
RBM19,1114.968341,0.059745286,0.138762535,0.430557758,0.666789962,0.82962471
CCDC120,133.7676725,0.364625187,0.251758594,1.448312775,0.147529596,0.338457483
INO80D,1134.392756,-0.949091219,0.258749924,-3.667986463,0.000244468,0.002019062
CCDC34,482.5015385,0.352252518,0.181626141,1.939437333,0.052448108,0.163060014
C12orf43,348.8559732,0.122081648,0.218811914,0.557929621,0.576892444,0.768352636
LOC100288175,69.1379401,-0.185890612,0.308491482,-0.602579399,0.546788529,0.748230706
LILRB5,6.342946666,3.55897853,1.312362826,2.711886118,0.006690157,0.032656034
RAD17,1129.680831,-0.273295541,0.149344593,-1.829966096,0.067255009,0.194897936
SH2D3C,14.64753197,-0.744074359,0.788986982,-0.943075584,0.345642243,0.578510343
ZNF41,743.9485729,-0.662091946,0.16782529,-3.945126173,7.98E-05,0.000753255
VIL1,6.122614179,1.781790498,0.664815688,2.680127035,0.007359422,0.035245851
MDK,26.45041129,1.437063056,0.525158999,2.736434222,0.006210901,0.030686272
SLC25A1,1797.34059,0.062316643,0.118782411,0.524628542,0.599841441,0.784868578
DUSP9,517.1004901,1.03139943,0.164843385,6.256844518,3.93E-10,9.66E-09
UQCC3,300.350782,0.141801095,0.195328784,0.725961079,0.467862631,0.687130341
MORC4,616.2253551,0.156252823,0.104623785,1.493473235,0.135313355,0.319690869
SCNN1D,113.5732147,0.026880666,0.238476947,0.112718091,0.910254058,0.95939105
MRTFB,677.6975331,-0.47079802,0.271397291,-1.734718938,0.0827906,0.226675805
SNORD167,16.38427005,0.895382592,0.58125033,1.540442296,0.123452578,0.300013195
PUSL1,372.7448659,0.645021607,0.158302889,4.074604129,4.61E-05,0.000460592
MSRB3,3282.513091,-0.109205946,0.19371368,-0.56374927,0.572924781,0.765558448
FGFR3,441.3641131,3.70933905,0.289620424,12.80758793,1.49E-37,3.41E-35
EWSR1,4893.55741,0.001464081,0.108925025,0.013441184,0.98927581,0.996103206
TMA7,3677.296853,0.067201143,0.158095428,0.425066962,0.670787861,0.831587653
NUPR1,72.30754386,-2.614279054,0.584563274,-4.472191755,7.74E-06,9.31E-05
OSTF1,454.324931,0.641024119,0.173165245,3.70180587,0.00021407,0.001798583
ORC3,1054.999034,-0.072392817,0.161617167,-0.447927772,0.654205325,0.822074063
MXRA8,18.05662335,-3.910369013,0.645522436,-6.057681025,1.38E-09,3.17E-08
SERPINC1,2.727306142,-2.285791681,1.973521427,-1.158229979,0.246770197,0.469927383
SPRED2,783.6625253,-0.075904864,0.211769457,-0.358431595,0.720020351,0.863459863
AK8,15.91386159,-0.366081056,0.445126467,-0.822420331,0.410837712,0.639485237
GALNS,822.9551287,-0.372973713,0.198267082,-1.881168109,0.059949054,0.179163829
FBXW8,262.8504423,0.142223751,0.146627883,0.969963884,0.332064495,0.563840596
IKBKG,248.5095992,0.160451789,0.134074538,1.196735726,0.231409577,0.451967419
PSME1,1689.966962,0.122183263,0.166933742,0.731926701,0.464213308,0.684265163
SETDB1,1085.323562,0.194666504,0.078843965,2.46900955,0.01354876,0.057369501
VSTM1,4.242000883,1.12424631,1.306501191,0.860501558,0.389512625,0.620990262
MRPL20-AS1,412.4194025,0.259889011,0.140135608,1.854553711,0.063659983,0.187406096
PAQR3,378.8095005,-0.297434057,0.208280317,-1.428046883,0.153278365,0.346496788
LINC01770,67.52927711,0.461014286,0.499218763,0.923471472,0.35576156,0.589474316
CARD8,273.0531673,-0.600922546,0.145831332,-4.120668282,3.78E-05,0.000387824
PPIP5K2,1891.266257,0.32998254,0.121598262,2.713710988,0.006653418,0.032495909
LOC105378586,25.77797136,-0.264403852,0.42086331,-0.62824163,0.529845663,0.735214269
IFT81,1029.884203,-0.915232719,0.236007513,-3.877981295,0.000105327,0.000965476
ASAP3,265.2116266,-0.188339019,0.184991378,-1.0180962,0.308632241,0.5398123
CRELD1,214.0164997,-0.243255436,0.25436232,-0.956334399,0.338903316,0.570923534
NLRP2,5166.205254,-0.146112059,0.132518699,-1.102576919,0.270210938,0.496976314
ZNF232,320.3673354,-0.327460394,0.232107838,-1.410811443,0.158300219,0.353686328
MMP23A,21.57332678,-1.335759048,0.570378564,-2.341881573,0.019186802,0.075687378
CAST,4166.342634,-0.401327982,0.181415991,-2.212197393,0.026953029,0.098193677
AASDH,387.1679777,-0.065880941,0.18719051,-0.351945944,0.724878802,0.867020135
SUMO3,350.2543464,-0.515866006,0.207040822,-2.491614941,0.012716381,0.054491951
CYP21A2,2.710286693,-1.081975691,1.245268335,-0.868869512,0.384918507,0.616517215
CASP3,1710.570945,-0.087214922,0.215284416,-0.405114887,0.685393064,0.841671447
CALD1,924.5680514,-0.528772401,0.236115586,-2.239464201,0.025125728,0.093055331
IDE,1623.139334,-0.164061494,0.095936989,-1.710096335,0.08724806,0.235407295
DAXX,5733.973631,0.110598165,0.159149177,0.694933945,0.487096698,0.701068217
SGCE,429.0975942,0.599785982,0.139836886,4.289182903,1.79E-05,0.000199206
HLA-C,12118.25067,0.702490175,0.200163095,3.5095889,0.0004488,0.003397469
CNTD1,6.235678298,-0.071328403,0.824460334,-0.086515263,0.931056823,0.970357537
EBAG9,246.9329427,0.236880745,0.152064697,1.557762911,0.119289461,0.293261396
SLC11A2,1181.827168,0.09611768,0.178488424,0.538509319,0.590225473,0.778611724
RMDN2,73.01983862,-0.932464228,0.218548757,-4.266618774,1.98E-05,0.000218251
