gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CENPX,829.3850542,0.440115542,0.208235234,2.113549828,0.034553735,0.119206055
OGFOD3,271.2045073,0.308589773,0.133988536,2.303105791,0.021272892,0.081984513
SLC25A39,2245.876427,0.676603141,0.123552743,5.476229201,4.34E-08,7.98E-07
ELP4,259.2107839,-0.206243967,0.155020312,-1.330431889,0.183376014,0.390537003
C2,120.646469,-0.578957533,0.306024164,-1.891868686,0.058508479,0.176229587
TSNARE1,89.33732469,-0.430605799,0.231353481,-1.861246254,0.062709409,0.185384716
TDRP,612.376853,0.517438442,0.122762103,4.214968872,2.50E-05,0.000268646
RAB5C,1428.356552,0.019426268,0.103377487,0.187915844,0.850942622,0.931769589
LOC105378591,4.511999167,-0.756193735,0.961795062,-0.786231668,0.431731777,0.656722119
RRAGB,220.7125723,-0.212525818,0.141322713,-1.50383342,0.132624264,0.315643369
RDH13,1078.396591,0.600367363,0.120953902,4.963604769,6.92E-07,1.03E-05
ULK3,840.8190631,-0.184757913,0.160108932,-1.153951316,0.248520129,0.472279739
GTF2IP20,165.6801323,-0.03330343,0.345403585,-0.096418888,0.923187892,0.966365432
PRKCZ-AS1,12.59697706,-0.679630826,0.5522147,-1.230736572,0.218421405,0.435156769
YJEFN3,103.5334111,-0.284267127,0.238457898,-1.192106147,0.233219627,0.454283231
FBXO11,1138.247749,-0.11061513,0.212481584,-0.520586902,0.602654575,0.786762043
FAAP20,451.4411041,0.095641264,0.122481184,0.780864951,0.434881928,0.659328104
ATG16L1,1182.655644,-0.195929812,0.177868498,-1.101543073,0.270660369,0.497409214
NFIC,698.6774051,-0.559710894,0.320077941,-1.748670628,0.08034797,0.222160658
PBRM1,2021.981926,0.036807355,0.146410826,0.251397773,0.801506589,0.907733003
LOC100129534,41.39148055,-0.60374049,0.47582769,-1.268821682,0.20450467,0.417089535
PRDM15,551.910114,-0.110261195,0.116563697,-0.945930835,0.344183865,0.57723922
ADCY3,1113.521359,0.304015903,0.097393018,3.12153693,0.001799097,0.011063843
HROB,194.8912699,0.233997255,0.160513184,1.457807068,0.144893729,0.334781388
PLCH2,18.5531229,-0.637906099,0.627825453,-1.016056447,0.309602507,0.540936218
TNFRSF14-AS1,51.35894713,2.513275,0.608841052,4.127965733,3.66E-05,0.000376658
LOC100996583,5.067277653,-1.3801252,1.440843198,-0.9578594,0.338133662,0.570160456
CRCP,928.527771,0.748885554,0.173575076,4.314476311,1.60E-05,0.00017989
SARS1,2326.428744,0.009092589,0.227202594,0.04001974,0.968077389,0.987873127
SORD,980.3742116,0.05294362,0.125046481,0.423391524,0.672009628,0.832413311
RMDN3,741.7619428,0.581267944,0.107047539,5.429998221,5.64E-08,1.02E-06
RNF5,2963.361964,-0.117670525,0.259041879,-0.454252899,0.649646813,0.819025039
COPG2,304.3084144,-0.029269875,0.315805027,-0.092683374,0.926155106,0.96787486
EPN3,84.00792026,1.693167861,0.281288382,6.019330943,1.75E-09,3.96E-08
PRDM16-DT,17.84966801,4.395585538,0.784236909,5.604920513,2.08E-08,3.99E-07
BAG6,14655.17091,0.770984222,0.175690346,4.388312962,1.14E-05,0.000132787
ZNF14,466.8359086,-0.623364201,0.129637636,-4.80851257,1.52E-06,2.10E-05
ADCY6,1150.679146,0.341315892,0.150151785,2.273139088,0.0230178,0.087043959
PPP1CC,3934.224823,0.225972335,0.125454708,1.801226426,0.071667199,0.204244097
ILF3,6679.328224,-0.049077776,0.093786464,-0.523292745,0.600770549,0.785835281
C19orf44,128.7112232,-0.016230961,0.246225349,-0.06591913,0.947442211,0.977687914
CHRAC1,612.1358132,0.326066147,0.168445373,1.935738217,0.052899771,0.164001205
FOXD3,33.82736918,-1.262214144,0.324873245,-3.885251131,0.000102224,0.000940166
FKBP8,4753.682282,0.225400181,0.269409098,0.836646509,0.402791295,0.633467258
BZW1,10209.94731,-0.313621379,0.165154548,-1.898956968,0.057570134,0.174342188
LRRC28,158.5216311,-0.246018237,0.160918344,-1.528838978,0.126304367,0.305147804
MADD,1143.708247,0.074961959,0.123800815,0.605504571,0.544843788,0.7468252
BOP1,1180.271656,0.480277098,0.181700576,2.64323376,0.008211832,0.038458475
EXOC6B,533.1934685,-0.225004797,0.143396647,-1.569107803,0.116622822,0.288509177
C19orf18,22.72312547,-0.869588316,0.432675365,-2.009793913,0.044453005,0.144456963
INPP5B,490.4306156,-0.428687616,0.22725268,-1.886391907,0.059242162,0.177855696
LINC01134,23.61149746,0.572110645,0.440088445,1.299990152,0.193604345,0.404037468
TACC2,829.6471632,2.191427682,0.258432491,8.479691053,2.26E-17,1.25E-15
SHOX2,296.5991716,-0.128554568,0.151036694,-0.851147923,0.394687187,0.625906582
EXOG,395.6778436,-0.376428608,0.129251804,-2.912366376,0.003587016,0.019658373
ZNF195,828.6741318,-0.208079921,0.109709733,-1.896640484,0.057875404,0.175024884
NDRG4,60.85796867,0.258224955,0.339742054,0.760061795,0.447217648,0.670887396
VRK2,567.2673554,-0.394956435,0.179436077,-2.201098253,0.027729069,0.100115576
CELF2,45.33526011,-8.19161004,1.097075208,-7.466771628,8.22E-14,3.22E-12
SEC11C,282.4548995,-0.101945896,0.190280959,-0.535765096,0.592120908,0.779854374
ARID3B,411.2813534,-0.100787208,0.160363264,-0.628493116,0.529680955,0.735071004
POF1B,8.317002805,-3.828414926,1.060979282,-3.608378591,0.000308117,0.002461059
TRIM14,412.0612271,0.28569684,0.147688965,1.934449463,0.05305789,0.164337188
ARHGEF17,815.127044,-0.097833483,0.158755226,-0.616253624,0.537727142,0.741232359
ARHGEF11,2522.215442,-0.190831002,0.090568759,-2.107029012,0.035115065,0.120513327
LOC102724450,194.3723279,0.817711961,0.180398951,4.532797765,5.82E-06,7.21E-05
DMTN,18.52464431,3.574282975,1.114575417,3.206856101,0.001341941,0.008638419
LENEP,6.924622914,-0.19964709,0.687860412,-0.290243611,0.771629875,0.891910159
ZNF398,688.7207575,0.182386239,0.122095535,1.493799416,0.135228054,0.319647539
PNISR,3862.399747,-0.006500525,0.20192193,-0.032193261,0.97431793,0.990447632
ALPK3,43.56467192,0.838552612,0.678674555,1.235573968,0.216616966,0.43302421
ALKBH6,326.1814096,0.148777546,0.285915562,0.520354839,0.60281628,0.786762043
CTNND1,233.1180985,-0.38656426,0.176400434,-2.191401978,0.028422716,0.101995747
BCL2L13,1537.271122,0.386591182,0.108276829,3.570396242,0.000356442,0.002793028
DMD,2905.725795,-0.479267086,0.220154899,-2.176953993,0.029484,0.105209919
MUC4,21.84260331,0.902417765,0.817552179,1.10380449,0.269677957,0.496475287
FSCN2,46.53998726,-0.237553621,0.53948645,-0.440332878,0.659696031,0.82538646
EIF4G1,9162.269352,0.188344756,0.108006918,1.743821233,0.081190267,0.223852583
PPP2R5E,807.2799164,-0.244203801,0.180640268,-1.351879089,0.176413998,0.380685759
NAA16,678.5203601,-0.195216306,0.141070694,-1.383818999,0.166413884,0.366070653
GPS2,1260.966531,-0.094410744,0.174062314,-0.542396238,0.587545571,0.777027841
THAP3,244.0156643,-0.236180134,0.197564948,-1.195455656,0.231909052,0.452619521
DLC1,3.027469675,-3.226185509,1.733480099,-1.861103287,0.062729592,0.185384716
CAMTA1-DT,16.45899705,-0.210387451,0.40755099,-0.51622363,0.605698228,0.788402779
SORBS1,64.15151404,0.90543101,0.406472632,2.227532532,0.025911704,0.095303836
CD160,69.16214636,2.812607274,0.421912287,6.66633175,2.62E-11,7.61E-10
DUX4,9.452182094,1.776650467,0.757901713,2.34417001,0.019069477,0.075428548
ZNRD1,1582.274241,0.35708865,0.159688357,2.236159585,0.02534132,0.093622884
RHEBL1,63.20326517,-0.257631436,0.340881056,-0.755781031,0.449780492,0.673081551
RPL10,6157.462165,-0.104591733,0.212133768,-0.493046129,0.621979994,0.800111661
ANK2,210.8344998,-1.274632982,0.787176579,-1.619246578,0.10539422,0.26957289
TSEN2,405.6455107,0.211751374,0.14306818,1.480073158,0.138853724,0.325192941
USP30,131.4643165,-0.036940075,0.212519748,-0.173819493,0.862007325,0.936444393
KDM6A,975.1187368,-0.326742486,0.205923269,-1.586719595,0.112576166,0.281534158
PRH1,80.73531623,0.517040188,0.325817586,1.586900798,0.112535114,0.281534158
RCC1,1762.051224,0.309945379,0.180236481,1.719659509,0.085494352,0.231864792
GMPR2,756.7831878,0.155475951,0.156032762,0.996431447,0.31904056,0.550497438
MMS22L,628.684695,-0.016029474,0.15219243,-0.105323728,0.916118936,0.963474884
SNX14,2707.128101,0.192348135,0.157209368,1.223515729,0.221134967,0.438710952
STXBP6,70.07536269,4.666242091,0.369303252,12.6352586,1.35E-36,2.82E-34
TMCC1,387.4041714,0.036620309,0.204681653,0.178913492,0.858005629,0.934928571
TMEM94,641.9518045,0.050584311,0.240481884,0.210345621,0.833397931,0.923982298
LINC01714,9.065613145,0.336165689,0.806568885,0.416784847,0.676835787,0.835635962
HNRNPUL2,550.6289197,0.060111185,0.218373216,0.27526812,0.783110255,0.898604737
MCC,302.3707779,0.074380132,0.286939877,0.259218527,0.795466637,0.905034028
GNB1,3906.955801,-0.030269483,0.157189456,-0.192566879,0.847298186,0.930395888
SLC25A36,2397.568829,0.046483367,0.118351424,0.392757144,0.69449886,0.84703287
SNORD128,4.874707136,-0.990682939,0.790107814,-1.253857919,0.209893653,0.424672141
ANGEL2,1123.94256,-0.047310226,0.142596184,-0.331777642,0.740057168,0.876102939
MIR6728,8.722009377,-0.166493946,0.634879587,-0.26224492,0.793132624,0.903917009
ENO1-AS1,16.81411271,0.499098764,0.394945737,1.263714775,0.20633242,0.41972893
TMEM51,88.45853953,0.043849277,0.27254072,0.160890735,0.87217946,0.941853131
GRAMD1A,628.9317115,0.184745493,0.214789759,0.860122443,0.389721551,0.621072897
HSPB11,775.7465201,-0.50975646,0.153735513,-3.315801597,0.000913807,0.006237298
IER5,617.0936459,0.208434435,0.369807909,0.563628926,0.573006696,0.765558448
DNAJC27,240.7754162,-0.071074964,0.130883677,-0.54303918,0.587102827,0.776691053
STK26,1242.607901,-0.079522161,0.127181068,-0.625267285,0.531795648,0.73705324
SIRT6,303.0112673,-0.110825932,0.322770845,-0.343357939,0.731329198,0.871117324
GPR83,7.761500636,-0.580277815,1.029754733,-0.563510704,0.573087173,0.765558448
MIR34AHG,11.72203372,2.455001662,0.774657857,3.169143175,0.001528891,0.009613329
UBE3D,83.52037498,-0.178199388,0.27418844,-0.64991576,0.515746638,0.72466
LINC02606,9.290088974,-0.593714671,0.525081207,-1.13071019,0.258177091,0.483401631
TEX264,783.0051815,0.459678265,0.119099799,3.859605729,0.00011357,0.001034722
LETMD1,561.3803836,0.330008056,0.138462737,2.38337089,0.017154901,0.069401091
GLRX,3537.536321,0.57982772,0.190082929,3.050393438,0.002285418,0.013453503
CD2BP2,1819.313039,-0.178968861,0.126965368,-1.409588008,0.15866137,0.354349447
CFL2,1464.691301,-0.776002263,0.235390493,-3.296659317,0.000978421,0.006609547
IL15RA,106.6911584,1.701707569,0.209731343,8.11374943,4.91E-16,2.38E-14
CEP295NL,21.76904044,1.278304297,0.699250062,1.82810752,0.067533417,0.195447599
DPYS,3.509443664,-1.303037591,2.07734172,-0.627262033,0.530487487,0.73579581
PCM1,5464.40694,-0.182476772,0.240020461,-0.76025507,0.447102133,0.670775026
ZCCHC8,927.3115924,-0.228783635,0.12325298,-1.85621179,0.063423376,0.186909425
INTS11,936.1616216,-0.045274622,0.114125955,-0.396707499,0.69158317,0.845691076
GRIP1,44.60311559,-8.660211324,1.215183739,-7.126668211,1.03E-12,3.50E-11
JAKMIP3,227.7797483,-0.458821103,0.194598182,-2.357787203,0.018384228,0.073350406
SPRYD3,608.4379516,0.839313571,0.151501931,5.539952963,3.03E-08,5.67E-07
SRP19,868.9868192,-0.000453488,0.14846924,-0.003054423,0.997562926,1
FAM104A,741.9924789,0.038417647,0.127659485,0.300938444,0.763461434,0.887838353
OAS1,80.87671802,-0.276480902,0.406390624,-0.680332877,0.496293712,0.708537557
WDR4,403.1752846,0.336453497,0.129480868,2.598480399,0.009363739,0.042597147
MESP1,15.87449709,0.2661696,0.426567072,0.623980653,0.532640291,0.737748327
CORO2B,14.38595715,-0.842646936,0.560088064,-1.50449008,0.132455226,0.315440516
SH3BP5L,574.2223677,0.144691308,0.145352584,0.995450534,0.319517191,0.550917011
MAPKAPK5,978.4855242,0.274429468,0.140397217,1.954664591,0.050622672,0.158879973
RCHY1,1019.51256,-0.215706946,0.087858668,-2.455158391,0.014082253,0.059068219
PIGQ,475.3781452,-0.15449202,0.192178046,-0.803900461,0.421454464,0.647689622
ESCO1,1084.921538,-0.750760138,0.126013587,-5.957771363,2.56E-09,5.69E-08
CBLB,301.0425384,-1.994816344,0.232616013,-8.575576208,9.86E-18,5.67E-16
GPR63,339.5892853,-0.046675549,0.168059732,-0.277731901,0.78121817,0.897469473
CLPTM1L,2850.109231,0.127331235,0.134701816,0.94528224,0.344514803,0.577442467
EXOSC10-AS1,36.98511247,-0.125310161,0.485033436,-0.258353655,0.796133981,0.905559915
IQCE,753.6863831,0.334337766,0.090478842,3.695203875,0.00021971,0.001838489
SCN1B,24.77503003,-0.93668702,0.426294028,-2.197279244,0.028000509,0.100787189
UBE3A,3878.164432,-0.111756244,0.077994499,-1.432873407,0.151894018,0.344404309
ALDH3A2,2469.228833,-0.295795615,0.144456959,-2.047638391,0.040595445,0.134541644
SMPD3,10.53444592,0.663494231,1.39453576,0.47578144,0.634230094,0.807531131
USP15,1132.935008,-0.637437217,0.11008367,-5.790479321,7.02E-09,1.46E-07
ZNF587,968.1568831,-0.406795687,0.11640369,-3.494697519,0.000474599,0.003563378
ADD3,2549.392517,1.041555728,0.193591129,5.380183142,7.44E-08,1.31E-06
FBXO44,1080.867869,0.25275321,0.165022256,1.531631042,0.125613508,0.304152717
CAD,2609.437107,-0.011865989,0.14962823,-0.079303141,0.936791508,0.97295788
DGAT1,279.8400229,-0.41347505,0.180575689,-2.289760329,0.022035214,0.084137232
PUDP,178.5138046,0.45679523,0.154965517,2.947721783,0.00320125,0.017828136
HOXA5,110.5366335,0.404711437,0.221677004,1.825680741,0.067898366,0.196188989
APOM,57.87768384,0.21249973,0.342769884,0.619948659,0.535291589,0.739540521
METTL6,428.0495589,0.098055519,0.14120077,0.694440398,0.487406067,0.701187839
KYAT1,155.8467769,0.114572213,0.232115881,0.493599198,0.621589267,0.799891829
POMZP3,297.1864289,-0.149861653,0.247742079,-0.604909969,0.545238819,0.747097039
CYFIP2,776.0712718,-1.136795151,0.165672632,-6.861695481,6.80E-12,2.12E-10
CLCN6,237.6309074,-0.164253549,0.279703232,-0.587242228,0.557041035,0.755373436
NPPA-AS1,8.224917323,-1.064376094,0.739297458,-1.439712908,0.14994864,0.341634708
PPIP5K1,953.4730072,-0.164296419,0.254715944,-0.645018196,0.518915394,0.72700971
RNU5E-1,117.8650846,-0.377196872,0.344111922,-1.096145896,0.273014932,0.499871444
TAF1B,285.3736961,0.166039487,0.120291167,1.380313209,0.16749023,0.367801597
GLIS2,346.773946,-0.390525266,0.336382943,-1.160954426,0.245660434,0.469003588
CTNS,306.3838158,0.095099034,0.182536453,0.520986536,0.602376151,0.786762043
CTH,37.39326799,-0.602901326,0.354025613,-1.702987876,0.088570337,0.237925652
FCER2,3.425931767,2.09665456,1.579935055,1.327051105,0.184491778,0.391451475
VPS8,1053.45581,-0.289482548,0.132089571,-2.191562474,0.028411114,0.101976267
GUCY1A1,210.4111265,1.642089199,0.315674012,5.201851084,1.97E-07,3.25E-06
SIPA1L1,1209.946387,0.516343366,0.145666769,3.544688805,0.000393077,0.003031206
CFAP70,84.40903494,0.067768427,0.362993556,0.186693197,0.85190119,0.932102537
CPEB1,934.6538382,0.172044459,0.14089496,1.221083134,0.222054545,0.439981824
SPHK2,253.8988665,-0.293194774,0.273153567,-1.073369743,0.283105255,0.51179842
MIR6730,4.52909704,-0.350286115,0.710354261,-0.493114682,0.621931557,0.800111661
IRF3,1061.506213,-0.130497793,0.145668737,-0.895853124,0.370331213,0.603195239
BRWD1,3869.678944,-0.470041835,0.150742278,-3.11818184,0.001819705,0.011165634
THAP8,99.13909476,-0.212031778,0.247515229,-0.85664134,0.391643132,0.623113201
TMEM91,48.82678364,-0.518157935,0.372638703,-1.390510246,0.16437399,0.363033771
MFSD11,248.6879878,0.427506633,0.184372993,2.31870528,0.020411022,0.079310523
AFF2,3.201427208,-4.37267499,1.492950723,-2.928880989,0.003401846,0.01880579
SS18L1,541.0825896,0.022279354,0.130506469,0.17071456,0.864448214,0.938170538
NFKB2,1257.265139,-0.27928681,0.227455429,-1.227874891,0.219493937,0.436465659
POLD2,2111.438639,0.264055427,0.114306267,2.310069555,0.020884304,0.080712898
ZNF562,1459.226086,-0.410804825,0.093532035,-4.392129679,1.12E-05,0.000130845
MTHFD1L,1602.892625,-0.265885703,0.287387273,-0.925182597,0.354870935,0.588234631
GLMN,619.4107993,-0.496783786,0.113827168,-4.364369202,1.27E-05,0.000146661
C15orf40,374.6633856,0.160813472,0.191388465,0.840246417,0.400770238,0.631551497
CYB5D1,869.056243,0.279626823,0.122202255,2.288229651,0.022124151,0.084398781
DENND3,117.0797895,-0.316317814,0.261435166,-1.209928329,0.226306396,0.445811454
ZNF628,72.69872913,-0.007603681,0.20568493,-0.036967611,0.970510831,0.98889013
RRP36,1346.857175,-0.024891042,0.158543283,-0.1569984,0.875246109,0.943381091
TMEM51-AS1,25.17462835,0.071430397,0.465742409,0.153368892,0.878107375,0.944923623
MTMR9,883.1128216,-0.257047991,0.107203647,-2.397754159,0.016495932,0.067312207
FXYD6,19.35615118,-0.476200637,0.429769275,-1.108037881,0.267845456,0.494387222
SLC5A11,10.49890487,0.488647845,1.075304242,0.454427525,0.649521145,0.818983246
PRMT7,941.6592835,0.009164451,0.119926629,0.07641715,0.939087226,0.974239593
HSPA12A,183.1931301,-1.151820146,0.180498307,-6.381334884,1.76E-10,4.55E-09
RIMS2,765.1559872,0.170279451,0.255157264,0.667350985,0.504547966,0.715068495
DNAJC16,929.8083242,-0.00351762,0.118983204,-0.029564002,0.976414775,0.991298049
SCARNA21B,3.616651453,-1.619578764,1.020919132,-1.586392803,0.112650232,0.281634105
CBFB,3697.069178,0.210050745,0.194116039,1.082088561,0.279213178,0.506929356
ZNF333,164.318669,-0.048426203,0.201735634,-0.240047837,0.810293172,0.912615752
FLJ37453,119.9899959,0.201938561,0.222801111,0.906362452,0.36474404,0.597643294
ZEB1,497.2989098,-0.152358928,0.132120569,-1.153180984,0.248836107,0.472445381
KLRD1,6.462656519,-0.340591442,1.532940745,-0.22218174,0.824172408,0.918849881
ABLIM1,2723.942727,0.309325962,0.138372363,2.235460574,0.025387127,0.093687347
PAN3,526.5604192,-0.32384525,0.161113953,-2.010038511,0.044427113,0.14440588
IP6K2,1876.325398,-0.247266584,0.137173842,-1.802578242,0.071454477,0.203848885
ZNF200,410.5857298,-0.004943564,0.191644726,-0.025795463,0.979420481,0.992458592
MYO19,3921.767629,-0.18370875,0.094623586,-1.941468904,0.052201428,0.162568473
ATP6V0A1,896.7282631,-0.113346254,0.176332929,-0.642796867,0.520355917,0.727978236
PACC1,327.3516257,-0.145975704,0.152188494,-0.959177007,0.337469581,0.569215005
RCN2,1836.796032,-0.156117517,0.122981389,-1.269440181,0.204284113,0.416794093
SOX6,6.270963251,0.472358471,0.675939175,0.698818013,0.48466577,0.699432918
SMDT1,897.6107873,0.383984186,0.13767966,2.788968135,0.005287627,0.026874159
CHURC1,803.7869453,-0.2939943,0.139056543,-2.114206872,0.034497602,0.119102274
C22orf23,8.998180126,0.676400666,0.5491588,1.231703226,0.218059964,0.434698828
ASH1L,3597.339471,-0.282545095,0.174370608,-1.620371109,0.105152582,0.269204952
ZNF561,716.8578189,-0.011994616,0.143281639,-0.083713561,0.933284175,0.971377823
PKIB,55.20873267,1.514438151,0.351978188,4.302647731,1.69E-05,0.00018836
SREK1,2181.563596,-0.232967588,0.129395081,-1.800436202,0.071791789,0.204363788
PET100,507.0799198,0.037863047,0.251763984,0.150391037,0.880456112,0.945591404
ZSWIM2,113.2694985,-0.222871835,0.241001898,-0.924772116,0.355084458,0.58847046
ZNF454,10.0291839,-1.790709047,1.542097071,-1.161216814,0.245553739,0.468983951
NECAP2,546.4614357,-0.165199332,0.147813506,-1.117620006,0.263729321,0.489855045
LINC01772,19.49515902,-0.222087473,0.501213396,-0.443099636,0.657693669,0.824453325
CROCCP3,274.2434092,-0.381602935,0.317516669,-1.201835908,0.22942711,0.449370585
LINC01783,75.58246321,-0.901329952,0.433652992,-2.078458971,0.037667106,0.127262274
ADAMTS4,5.728784758,-0.264962408,0.770685078,-0.34380114,0.730995843,0.871053724
IMPA1,489.9952261,-0.164207689,0.183803319,-0.893388048,0.371649401,0.604451672
