lncRNA,gene,corr,p_value,mean_bicor
Malat1,Trio,0.455218534,5.03E-10,0.050059217
Airn,Trio,0.106019692,0.170095618,0.262778973
Hotair,Trio,-0.025686976,0.740261517,0.054523211
H19,Trio,-0.143792148,0.062163325,0.124316343
Neat1,Trio,-0.04310875,0.57786,-0.130568054
Hottip,Trio,-0.085434929,0.269405908,-0.018087346
Gas5,Trio,0.05944574,0.442642607,0.275243132
Meg3,Trio,0.513111964,9.83E-13,0.178532165
Pvt1,Trio,0.397124863,9.00E-08,0.130783522
Kcnq1ot1,Trio,0.700919365,2.70E-26,0.336887388
Xist,Cdh20,0.107275022,0.165065653,0.324577899
Malat1,Cdh20,0.322592747,1.89E-05,0.050059217
Airn,Cdh20,-0.327089154,1.42E-05,0.262778973
Hotair,Cdh20,-0.089808225,0.245564616,0.054523211
H19,Cdh20,-0.241481639,0.00156203,0.124316343
Neat1,Cdh20,-0.094195165,0.223163406,-0.130568054
Hottip,Cdh20,-0.085018531,0.271755312,-0.018087346
Gas5,Cdh20,-0.111146364,0.150252433,0.275243132
Meg3,Cdh20,0.295985959,9.34E-05,0.178532165
Pvt1,Cdh20,0.519909767,4.36E-13,0.130783522
Kcnq1ot1,Cdh20,0.380589179,3.32E-07,0.336887388
Xist,Itgb3bp,0.427740025,6.61E-09,0.324577899
Malat1,Itgb3bp,-0.355524643,2.10E-06,0.050059217
Airn,Itgb3bp,0.537677437,4.78E-14,0.262778973
Hotair,Itgb3bp,0.090401185,0.24244864,0.054523211
H19,Itgb3bp,0.579658235,1.49E-16,0.124316343
Neat1,Itgb3bp,-0.446540278,1.16E-09,-0.130568054
Hottip,Itgb3bp,-0.077800552,0.314691937,-0.018087346
Gas5,Itgb3bp,0.849440009,3.14E-48,0.275243132
Meg3,Itgb3bp,0.152804647,0.047324927,0.178532165
Pvt1,Itgb3bp,-0.034250933,0.658426058,0.130783522
Kcnq1ot1,Itgb3bp,0.417960856,1.57E-08,0.336887388
Xist,Arhgap21,0.436991717,2.85E-09,0.324577899
Malat1,Arhgap21,0.412992856,2.40E-08,0.050059217
Airn,Arhgap21,-0.147847879,0.055071256,0.262778973
Hotair,Arhgap21,-0.091934568,0.234518906,0.054523211
H19,Arhgap21,-0.289070955,0.000137995,0.124316343
Neat1,Arhgap21,-0.031121158,0.687927107,-0.130568054
Hottip,Arhgap21,-0.043943724,0.570508505,-0.018087346
Gas5,Arhgap21,-0.107480233,0.164254058,0.275243132
Meg3,Arhgap21,0.448524085,9.62E-10,0.178532165
Pvt1,Arhgap21,0.56009497,2.43E-15,0.130783522
Kcnq1ot1,Arhgap21,0.556565651,3.94E-15,0.336887388
Xist,Adam12,0.629032276,5.29E-20,0.324577899
Malat1,Adam12,-0.136207113,0.077431157,0.050059217
Airn,Adam12,0.499493884,4.74E-12,0.262778973
Hotair,Adam12,0.034227305,0.658646887,0.054523211
H19,Adam12,0.353665896,2.39E-06,0.124316343
Neat1,Adam12,-0.319757175,2.26E-05,-0.130568054
Hottip,Adam12,-0.09035071,0.242712809,-0.018087346
Gas5,Adam12,0.487002679,1.89E-11,0.275243132
Meg3,Adam12,0.104129408,0.177883241,0.178532165
Pvt1,Adam12,0.036612131,0.636510166,0.130783522
Kcnq1ot1,Adam12,0.442001181,1.79E-09,0.336887388
Xist,Cdh4,0.031831011,0.681192688,0.324577899
Malat1,Cdh4,0.214314435,0.005142075,0.050059217
Airn,Cdh4,-0.001614009,0.98338413,0.262778973
Hotair,Cdh4,0.066495238,0.390355054,0.054523211
H19,Cdh4,-0.168803745,0.028240396,0.124316343
Neat1,Cdh4,0.033310508,0.667237779,-0.130568054
Hottip,Cdh4,-0.086282937,0.264664085,-0.018087346
Gas5,Cdh4,-0.047929321,0.536039813,0.275243132
Meg3,Cdh4,0.062087474,0.422598742,0.178532165
Pvt1,Cdh4,0.508980754,1.60E-12,0.130783522
Kcnq1ot1,Cdh4,0.273683355,0.000317644,0.336887388
Xist,Ptprm,0.347644166,3.64E-06,0.324577899
Malat1,Ptprm,0.553702248,5.81E-15,0.050059217
Airn,Ptprm,0.194049642,0.011471442,0.262778973
Hotair,Ptprm,-0.005128948,0.947233006,0.054523211
H19,Ptprm,-0.234208024,0.002177786,0.124316343
Neat1,Ptprm,0.18726994,0.014766726,-0.130568054
Hottip,Ptprm,-0.091890268,0.234745416,-0.018087346
Gas5,Ptprm,-0.207945337,0.006668766,0.275243132
Meg3,Ptprm,0.079770578,0.302557245,0.178532165
Pvt1,Ptprm,0.297013039,8.80E-05,0.130783522
Kcnq1ot1,Ptprm,0.419190012,1.41E-08,0.336887388
Xist,Ptpn2,0.428493981,6.18E-09,0.324577899
Malat1,Ptpn2,-0.386532763,2.09E-07,0.050059217
Airn,Ptpn2,0.674743974,8.48E-24,0.262778973
Hotair,Ptpn2,0.040479318,0.601294518,0.054523211
H19,Ptpn2,0.531537886,1.04E-13,0.124316343
Neat1,Ptpn2,-0.419422465,1.38E-08,-0.130568054
Hottip,Ptpn2,-0.057073861,0.461089124,-0.018087346
Gas5,Ptpn2,0.805099188,1.00E-39,0.275243132
Meg3,Ptpn2,0.193891424,0.01154028,0.178532165
Pvt1,Ptpn2,0.025387189,0.743186251,0.130783522
Kcnq1ot1,Ptpn2,0.365520407,1.03E-06,0.336887388
Xist,Ssh1,0.623032803,1.50E-19,0.324577899
Malat1,Ssh1,-0.055587222,0.472864609,0.050059217
Airn,Ssh1,0.418384552,1.51E-08,0.262778973
Hotair,Ssh1,0.044042789,0.569639233,0.054523211
H19,Ssh1,0.347138453,3.77E-06,0.124316343
Neat1,Ssh1,-0.364383312,1.11E-06,-0.130568054
Hottip,Ssh1,-0.115404374,0.135144519,-0.018087346
Gas5,Ssh1,0.513627666,9.24E-13,0.275243132
Meg3,Ssh1,0.397998361,8.39E-08,0.178532165
Pvt1,Ssh1,0.154235172,0.045266128,0.130783522
Kcnq1ot1,Ssh1,0.637742425,1.12E-20,0.336887388
Xist,Itgav,0.398320794,8.17E-08,0.324577899
Malat1,Itgav,0.274041517,0.00031171,0.050059217
Airn,Itgav,0.412263902,2.56E-08,0.262778973
Hotair,Itgav,0.140623708,0.068210601,0.054523211
H19,Itgav,-0.033216541,0.668120777,0.124316343
Neat1,Itgav,0.111148506,0.150244521,-0.130568054
Hottip,Itgav,-0.052469875,0.498080622,-0.018087346
Gas5,Itgav,0.142922498,0.063777634,0.275243132
Meg3,Itgav,0.338720769,6.65E-06,0.178532165
Pvt1,Itgav,0.283189614,0.000190866,0.130783522
Kcnq1ot1,Itgav,0.549650504,1.00E-14,0.336887388
Xist,Epb41,0.421328768,1.17E-08,0.324577899
Malat1,Epb41,-0.31220989,3.59E-05,0.050059217
Airn,Epb41,0.406617245,4.12E-08,0.262778973
Hotair,Epb41,0.032339127,0.676387538,0.054523211
H19,Epb41,0.391976661,1.36E-07,0.124316343
Neat1,Epb41,-0.253319391,0.000890284,-0.130568054
Hottip,Epb41,-0.082727318,0.284931146,-0.018087346
Gas5,Epb41,0.560047645,2.44E-15,0.275243132
Meg3,Epb41,0.103978594,0.178515715,0.178532165
Pvt1,Epb41,-0.195768929,0.010746379,0.130783522
Kcnq1ot1,Epb41,0.188119388,0.014313009,0.336887388
Xist,Dync1h1,0.527817735,1.66E-13,0.324577899
Malat1,Dync1h1,0.430195346,5.30E-09,0.050059217
Airn,Dync1h1,0.008258051,0.915138281,0.262778973
Hotair,Dync1h1,0.013628907,0.860396853,0.054523211
H19,Dync1h1,-0.131162832,0.089166049,0.124316343
Neat1,Dync1h1,-0.100092449,0.195389662,-0.130568054
Hottip,Dync1h1,-0.07449691,0.335742998,-0.018087346
Gas5,Dync1h1,0.094223114,0.223025498,0.275243132
Meg3,Dync1h1,0.392529107,1.30E-07,0.178532165
Pvt1,Dync1h1,0.393146187,1.24E-07,0.130783522
Kcnq1ot1,Dync1h1,0.5938702,1.74E-17,0.336887388
Xist,Ctnnb1,0.38047607,3.35E-07,0.324577899
Malat1,Ctnnb1,-0.279241269,0.000236359,0.050059217
Airn,Ctnnb1,0.449667542,8.62E-10,0.262778973
Hotair,Ctnnb1,0.080646733,0.297260857,0.054523211
H19,Ctnnb1,0.432507606,4.30E-09,0.124316343
Neat1,Ctnnb1,-0.517985707,5.50E-13,-0.130568054
Hottip,Ctnnb1,-0.002599707,0.97323965,-0.018087346
Gas5,Ctnnb1,0.724665764,8.33E-29,0.275243132
Meg3,Ctnnb1,0.168232085,0.028786875,0.178532165
Pvt1,Ctnnb1,0.008314621,0.914559147,0.130783522
Kcnq1ot1,Ctnnb1,0.370864804,6.92E-07,0.336887388
Xist,Arhgef12,0.597812233,9.40E-18,0.324577899
Malat1,Arhgef12,0.621270164,2.02E-19,0.050059217
Airn,Arhgef12,0.047342434,0.541049454,0.262778973
Hotair,Arhgef12,-0.027480659,0.722841207,0.054523211
H19,Arhgef12,-0.277988784,0.000252777,0.124316343
Neat1,Arhgef12,0.198126653,0.009817832,-0.130568054
Hottip,Arhgef12,-0.117132694,0.12935522,-0.018087346
Gas5,Arhgef12,-0.20066498,0.008898033,0.275243132
Meg3,Arhgef12,0.257456973,0.000726841,0.178532165
Pvt1,Arhgef12,0.340233753,6.01E-06,0.130783522
Kcnq1ot1,Arhgef12,0.549043446,1.08E-14,0.336887388
Xist,Adam10,0.760188033,4.27E-33,0.324577899
Malat1,Adam10,-0.100262736,0.194626798,0.050059217
Airn,Adam10,0.48054377,3.79E-11,0.262778973
Hotair,Adam10,0.058385044,0.450839647,0.054523211
H19,Adam10,0.293192542,0.00010947,0.124316343
Neat1,Adam10,-0.207676156,0.006741375,-0.130568054
Hottip,Adam10,-0.066718218,0.388764288,-0.018087346
Gas5,Adam10,0.472797659,8.55E-11,0.275243132
Meg3,Adam10,0.307273729,4.83E-05,0.178532165
Pvt1,Adam10,0.132222953,0.086588718,0.130783522
Kcnq1ot1,Adam10,0.554504258,5.21E-15,0.336887388
Xist,Layn,0.297840138,8.40E-05,0.324577899
Malat1,Layn,0.482051692,3.23E-11,0.050059217
Airn,Layn,0.21797188,0.004414482,0.262778973
Hotair,Layn,0.134231683,0.081868855,0.054523211
H19,Layn,-0.188275009,0.014231221,0.124316343
Neat1,Layn,0.257372718,0.000729873,-0.130568054
Hottip,Layn,-0.064521655,0.404604993,-0.018087346
Gas5,Layn,-0.147281442,0.056019648,0.275243132
Meg3,Layn,0.179508728,0.019527956,0.178532165
Pvt1,Layn,0.342858019,5.04E-06,0.130783522
Kcnq1ot1,Layn,0.39830966,8.18E-08,0.336887388
Xist,Pkd1,0.510453395,1.34E-12,0.324577899
Malat1,Pkd1,0.563858967,1.44E-15,0.050059217
Airn,Pkd1,0.169212101,0.027855475,0.262778973
Hotair,Pkd1,-0.027470474,0.722939734,0.054523211
H19,Pkd1,-0.230501434,0.002569914,0.124316343
Neat1,Pkd1,0.190678327,0.013019034,-0.130568054
Hottip,Pkd1,-0.052309705,0.499395099,-0.018087346
Gas5,Pkd1,-0.028027453,0.717558433,0.275243132
Meg3,Pkd1,0.43787445,2.63E-09,0.178532165
Pvt1,Pkd1,0.354022012,2.34E-06,0.130783522
Kcnq1ot1,Pkd1,0.586699519,5.20E-17,0.336887388
Xist,Ptprt,0.378435813,3.91E-07,0.324577899
Malat1,Ptprt,0.18094914,0.018555168,0.050059217
Airn,Ptprt,0.325550331,1.57E-05,0.262778973
Hotair,Ptprt,0.08273315,0.284897072,0.054523211
H19,Ptprt,0.072032001,0.352021287,0.124316343
Neat1,Ptprt,0.079466369,0.304410652,-0.130568054
Hottip,Ptprt,0.001685912,0.982644024,-0.018087346
Gas5,Ptprt,0.076411346,0.323436984,0.275243132
Meg3,Ptprt,0.140798067,0.067865797,0.178532165
Pvt1,Ptprt,0.330544528,1.14E-05,0.130783522
Kcnq1ot1,Ptprt,0.381649986,3.06E-07,0.336887388
Xist,Arhgap35,0.445682722,1.26E-09,0.324577899
Malat1,Arhgap35,0.206405773,0.007093638,0.050059217
Airn,Arhgap35,-0.028471641,0.713276795,0.262778973
Hotair,Arhgap35,-0.001917261,0.980262799,0.054523211
H19,Arhgap35,-0.029090498,0.707326397,0.124316343
Neat1,Arhgap35,-0.310274834,4.04E-05,-0.130568054
Hottip,Arhgap35,-0.072200102,0.35089566,-0.018087346
Gas5,Arhgap35,0.170040775,0.027088119,0.275243132
Meg3,Arhgap35,0.400915403,6.61E-08,0.178532165
Pvt1,Arhgap35,0.388617504,1.78E-07,0.130783522
Kcnq1ot1,Arhgap35,0.544184576,2.06E-14,0.336887388
Xist,Arhgef6,0.076639653,0.321989117,0.324577899
Malat1,Arhgef6,0.449296472,8.93E-10,0.050059217
Airn,Arhgef6,-0.097334332,0.20804955,0.262778973
Hotair,Arhgef6,0.01767573,0.819570901,0.054523211
H19,Arhgef6,-0.324437556,1.68E-05,0.124316343
Neat1,Arhgef6,0.30488754,5.57E-05,-0.130568054
Hottip,Arhgef6,-0.058785888,0.447731967,-0.018087346
Gas5,Arhgef6,-0.437452077,2.73E-09,0.275243132
Meg3,Arhgef6,0.00383131,0.960570603,0.178532165
Pvt1,Arhgef6,0.170498283,0.026672265,0.130783522
Kcnq1ot1,Arhgef6,0.119544375,0.121598271,0.336887388
Xist,Vim,0.461765094,2.63E-10,0.324577899
Malat1,Vim,-0.227723518,0.002904595,0.050059217
Airn,Vim,0.465190363,1.86E-10,0.262778973
Hotair,Vim,0.071520892,0.355457631,0.054523211
H19,Vim,0.497749124,5.77E-12,0.124316343
Neat1,Vim,-0.372884839,5.95E-07,-0.130568054
Hottip,Vim,-0.053082044,0.493073547,-0.018087346
Gas5,Vim,0.514747702,8.09E-13,0.275243132
Meg3,Vim,0.135836463,0.078248667,0.178532165
Pvt1,Vim,-0.223327522,0.003515336,0.130783522
Kcnq1ot1,Vim,0.385897227,2.20E-07,0.336887388
Xist,Srcin1,0.203500774,0.007961382,0.324577899
Malat1,Srcin1,0.212060899,0.005642166,0.050059217
Airn,Srcin1,0.041493453,0.592205817,0.262778973
Hotair,Srcin1,0.0737735,0.340469838,0.054523211
H19,Srcin1,0.017953404,0.816785992,0.124316343
Neat1,Srcin1,-0.053320747,0.491128407,-0.130568054
Hottip,Srcin1,-0.071332801,0.356727485,-0.018087346
Gas5,Srcin1,0.174051395,0.023624729,0.275243132
Meg3,Srcin1,0.02959189,0.702518383,0.178532165
Pvt1,Srcin1,0.224964079,0.003275597,0.130783522
Kcnq1ot1,Srcin1,0.264215135,0.000518142,0.336887388
Xist,Zfyve21,0.21202187,0.005651198,0.324577899
Malat1,Zfyve21,-0.239115053,0.001742287,0.050059217
Airn,Zfyve21,0.519414351,4.63E-13,0.262778973
Hotair,Zfyve21,0.111084122,0.150482368,0.054523211
H19,Zfyve21,0.275629675,0.000286613,0.124316343
Neat1,Zfyve21,-0.015293191,0.843555616,-0.130568054
Hottip,Zfyve21,0.008943053,0.908128762,-0.018087346
Gas5,Zfyve21,0.3906014,1.52E-07,0.275243132
Meg3,Zfyve21,0.017888135,0.817440397,0.178532165
Pvt1,Zfyve21,-0.11136511,0.149446437,0.130783522
Kcnq1ot1,Zfyve21,0.026923121,0.728241288,0.336887388
Xist,Elmo1,0.368701282,8.12E-07,0.324577899
Malat1,Elmo1,0.297671115,8.48E-05,0.050059217
Airn,Elmo1,-0.180587709,0.018795227,0.262778973
Hotair,Elmo1,0.045932527,0.553178296,0.054523211
H19,Elmo1,-0.237401842,0.00188439,0.124316343
Neat1,Elmo1,-0.204006293,0.007803926,-0.130568054
Hottip,Elmo1,-0.084250893,0.276122831,-0.018087346
Gas5,Elmo1,0.116787995,0.130494343,0.275243132
Meg3,Elmo1,0.442235184,1.75E-09,0.178532165
Pvt1,Elmo1,0.479985915,4.02E-11,0.130783522
Kcnq1ot1,Elmo1,0.476939956,5.55E-11,0.336887388
Xist,Abl1,0.491294151,1.18E-11,0.324577899
Malat1,Abl1,-0.284730914,0.000175433,0.050059217
Airn,Abl1,0.635703441,1.62E-20,0.262778973
Hotair,Abl1,0.090480298,0.242034998,0.054523211
H19,Abl1,0.512130206,1.10E-12,0.124316343
Neat1,Abl1,-0.437589066,2.70E-09,-0.130568054
Hottip,Abl1,-0.056977828,0.461844855,-0.018087346
Gas5,Abl1,0.782038296,3.99E-36,0.275243132
Meg3,Abl1,0.207723278,0.006728614,0.178532165
Pvt1,Abl1,-0.023308016,0.763569864,0.130783522
Kcnq1ot1,Abl1,0.499042105,4.99E-12,0.336887388
Xist,Cd47,0.236991398,0.001919965,0.324577899
Malat1,Cd47,0.559628882,2.59E-15,0.050059217
Airn,Cd47,-0.251360129,0.000978907,0.262778973
Hotair,Cd47,-0.043789256,0.571865177,0.054523211
H19,Cd47,-0.513635709,9.24E-13,0.124316343
Neat1,Cd47,0.424267481,9.01E-09,-0.130568054
Hottip,Cd47,-0.06244343,0.419938843,-0.018087346
Gas5,Cd47,-0.266278765,0.000466433,0.275243132
Meg3,Cd47,0.280124445,0.000225385,0.178532165
Pvt1,Cd47,0.530790714,1.14E-13,0.130783522
Kcnq1ot1,Cd47,0.30724068,4.84E-05,0.336887388
Xist,Pdpk1,0.24666795,0.001225021,0.324577899
Malat1,Pdpk1,0.35461319,2.24E-06,0.050059217
Airn,Pdpk1,-0.196283074,0.010537543,0.262778973
Hotair,Pdpk1,-0.028670723,0.711360691,0.054523211
H19,Pdpk1,-0.409110726,3.34E-08,0.124316343
Neat1,Pdpk1,0.0723407,0.349955936,-0.130568054
Hottip,Pdpk1,-0.08717617,0.259731367,-0.018087346
Gas5,Pdpk1,-0.271340317,0.000359129,0.275243132
Meg3,Pdpk1,0.383048208,2.75E-07,0.178532165
Pvt1,Pdpk1,0.636680095,1.36E-20,0.130783522
Kcnq1ot1,Pdpk1,0.413067846,2.39E-08,0.336887388
Xist,Prnp,0.24357416,0.001417003,0.324577899
Malat1,Prnp,0.577025139,2.19E-16,0.050059217
Airn,Prnp,-0.211186528,0.005847622,0.262778973
Hotair,Prnp,-0.086037644,0.266029796,0.054523211
H19,Prnp,-0.372598551,6.08E-07,0.124316343
Neat1,Prnp,0.177297358,0.02110728,-0.130568054
Hottip,Prnp,-0.050173931,0.517095953,-0.018087346
Gas5,Prnp,-0.35856147,1.69E-06,0.275243132
Meg3,Prnp,0.115205205,0.135824221,0.178532165
Pvt1,Prnp,0.022767289,0.768898353,0.130783522
Kcnq1ot1,Prnp,0.152804249,0.047325511,0.336887388
Xist,Ptpn12,0.690093672,3.14E-25,0.324577899
Malat1,Ptpn12,-0.239504526,0.001711376,0.050059217
Airn,Ptpn12,0.46593279,1.73E-10,0.262778973
Hotair,Ptpn12,0.017358418,0.822756114,0.054523211
H19,Ptpn12,0.447069851,1.11E-09,0.124316343
Neat1,Ptpn12,-0.474535419,7.13E-11,-0.130568054
Hottip,Ptpn12,-0.078059323,0.313080152,-0.018087346
Gas5,Ptpn12,0.735740279,4.55E-30,0.275243132
Meg3,Ptpn12,0.316833803,2.71E-05,0.178532165
Pvt1,Ptpn12,0.019170895,0.804602769,0.130783522
Kcnq1ot1,Ptpn12,0.509742971,1.46E-12,0.336887388
Xist,Svil,0.55944751,2.65E-15,0.324577899
Malat1,Svil,-0.137007053,0.075690297,0.050059217
Airn,Svil,0.715357454,8.62E-28,0.262778973
Hotair,Svil,0.094846465,0.219965351,0.054523211
H19,Svil,0.413852233,2.23E-08,0.124316343
Neat1,Svil,-0.078992183,0.307314526,-0.130568054
Hottip,Svil,-0.015326118,0.843223103,-0.018087346
Gas5,Svil,0.50134191,3.85E-12,0.275243132
Meg3,Svil,0.071605835,0.354885084,0.178532165
Pvt1,Svil,-0.198882576,0.009535508,0.130783522
Kcnq1ot1,Svil,0.328794291,1.27E-05,0.336887388
Xist,Egfr,0.548165141,1.22E-14,0.324577899
Malat1,Egfr,0.298755548,7.96E-05,0.050059217
Airn,Egfr,0.158403437,0.039689416,0.262778973
Hotair,Egfr,-0.023873586,0.758008407,0.054523211
H19,Egfr,-0.157266931,0.041149403,0.124316343
Neat1,Egfr,0.147528604,0.055604177,-0.130568054
Hottip,Egfr,0.025200229,0.745012115,-0.018087346
Gas5,Egfr,-0.13327507,0.084090129,0.275243132
Meg3,Egfr,0.086688501,0.262416556,0.178532165
Pvt1,Egfr,0.132627346,0.085621419,0.130783522
Kcnq1ot1,Egfr,0.382795713,2.80E-07,0.336887388
Xist,Ptk2,0.397199221,8.95E-08,0.324577899
Malat1,Ptk2,-0.159792203,0.037964747,0.050059217
Airn,Ptk2,0.31763672,2.57E-05,0.262778973
Hotair,Ptk2,0.053241955,0.491770016,0.054523211
H19,Ptk2,0.347224003,3.74E-06,0.124316343
Neat1,Ptk2,-0.523728142,2.74E-13,-0.130568054
Hottip,Ptk2,-0.09246336,0.231827005,-0.018087346
Gas5,Ptk2,0.616973294,4.19E-19,0.275243132
Meg3,Ptk2,0.32486005,1.64E-05,0.178532165
Pvt1,Ptk2,0.272068995,0.000345718,0.130783522
Kcnq1ot1,Ptk2,0.448910606,9.27E-10,0.336887388
Xist,Heg1,0.552666858,6.68E-15,0.324577899
Malat1,Heg1,0.040331841,0.602621391,0.050059217
Airn,Heg1,0.586811565,5.12E-17,0.262778973
Hotair,Heg1,0.03352666,0.665208371,0.054523211
H19,Heg1,0.309528368,4.22E-05,0.124316343
Neat1,Heg1,-0.183594307,0.016877826,-0.130568054
Hottip,Heg1,-0.089581087,0.246765551,-0.018087346
Gas5,Heg1,0.343231163,4.91E-06,0.275243132
Meg3,Heg1,0.14849261,0.054007958,0.178532165
Pvt1,Heg1,-0.192457278,0.012181007,0.130783522
Kcnq1ot1,Heg1,0.475859199,6.21E-11,0.336887388
Xist,Ctnnd2,0.03026817,0.696051978,0.324577899
Malat1,Ctnnd2,-0.045791806,0.554396066,0.050059217
Airn,Ctnnd2,-0.024572917,0.751148786,0.262778973
Hotair,Ctnnd2,0.136774597,0.076192883,0.054523211
H19,Ctnnd2,0.198894565,0.009531089,0.124316343
Neat1,Ctnnd2,-0.273539898,0.000320051,-0.130568054
Hottip,Ctnnd2,-0.075070139,0.332027338,-0.018087346
Gas5,Ctnnd2,0.232877928,0.002311769,0.275243132
Meg3,Ctnnd2,0.309095394,4.33E-05,0.178532165
Pvt1,Ctnnd2,0.062206007,0.421711917,0.130783522
Kcnq1ot1,Ctnnd2,0.204827893,0.007553911,0.336887388
Xist,Itgb3,0.167998532,0.029012721,0.324577899
Malat1,Itgb3,-0.281509345,0.000209126,0.050059217
Airn,Itgb3,0.36782583,8.66E-07,0.262778973
Hotair,Itgb3,0.072735032,0.34732877,0.054523211
H19,Itgb3,0.421433425,1.16E-08,0.124316343
Neat1,Itgb3,-0.210890071,0.005918784,-0.130568054
Hottip,Itgb3,0.101251941,0.190238085,-0.018087346
Gas5,Itgb3,0.335315728,8.33E-06,0.275243132
Meg3,Itgb3,0.013756366,0.859104744,0.178532165
Pvt1,Itgb3,-0.14848228,0.054024859,0.130783522
Kcnq1ot1,Itgb3,0.108222681,0.161342615,0.336887388
Xist,Itgb8,0.351732396,2.74E-06,0.324577899
Malat1,Itgb8,0.459095462,3.43E-10,0.050059217
Airn,Itgb8,-0.093972446,0.224264543,0.262778973
Hotair,Itgb8,0.097767986,0.206020937,0.054523211
H19,Itgb8,-0.206812969,0.006978984,0.124316343
Neat1,Itgb8,0.042196193,0.58594472,-0.130568054
Hottip,Itgb8,-0.07971325,0.302905944,-0.018087346
Gas5,Itgb8,-0.009115691,0.906363279,0.275243132
Meg3,Itgb8,0.372561266,6.10E-07,0.178532165
Pvt1,Itgb8,0.475950606,6.15E-11,0.130783522
Kcnq1ot1,Itgb8,0.516828307,6.32E-13,0.336887388
Xist,Crkl,0.48503957,2.34E-11,0.324577899
Malat1,Crkl,-0.249641632,0.001063229,0.050059217
Airn,Crkl,0.425710592,7.92E-09,0.262778973
Hotair,Crkl,0.088875009,0.25052479,0.054523211
H19,Crkl,0.379678248,3.56E-07,0.124316343
Neat1,Crkl,-0.464595407,1.98E-10,-0.130568054
Hottip,Crkl,-0.099704012,0.197137932,-0.018087346
Gas5,Crkl,0.70357357,1.46E-26,0.275243132
Meg3,Crkl,0.312997798,3.42E-05,0.178532165
Pvt1,Crkl,0.114692321,0.137586573,0.130783522
Kcnq1ot1,Crkl,0.423281137,9.83E-09,0.336887388
Xist,Inppl1,0.378414253,3.92E-07,0.324577899
Malat1,Inppl1,-0.164339059,0.032753652,0.050059217
Airn,Inppl1,0.710048,3.14E-27,0.262778973
Hotair,Inppl1,0.064079272,0.407840934,0.054523211
H19,Inppl1,0.47275323,8.59E-11,0.124316343
Neat1,Inppl1,-0.266153881,0.000469422,-0.130568054
Hottip,Inppl1,-0.021183674,0.784565283,-0.018087346
Gas5,Inppl1,0.543224621,2.33E-14,0.275243132
Meg3,Inppl1,0.066924753,0.387294346,0.178532165
Pvt1,Inppl1,-0.199534904,0.009297668,0.130783522
Kcnq1ot1,Inppl1,0.372128504,6.30E-07,0.336887388
Xist,Synm,0.092625256,0.231007211,0.324577899
Malat1,Synm,0.56389744,1.43E-15,0.050059217
Airn,Synm,-0.180405255,0.01891743,0.262778973
Hotair,Synm,-0.064993237,0.40117227,0.054523211
H19,Synm,-0.430188565,5.30E-09,0.124316343
Neat1,Synm,0.204928353,0.007523835,-0.130568054
Hottip,Synm,-0.028431404,0.713664283,-0.018087346
Gas5,Synm,-0.273047459,0.00032844,0.275243132
Meg3,Synm,0.210682385,0.005969098,0.178532165
Pvt1,Synm,0.520284031,4.17E-13,0.130783522
Kcnq1ot1,Synm,0.389309522,1.68E-07,0.336887388
Xist,Sptlc1,0.277942658,0.000253401,0.324577899
Malat1,Sptlc1,-0.056815258,0.463125749,0.050059217
Airn,Sptlc1,0.404925069,4.74E-08,0.262778973
Hotair,Sptlc1,0.143175048,0.063305335,0.054523211
H19,Sptlc1,0.134220821,0.081893809,0.124316343
Neat1,Sptlc1,-0.215143369,0.004968355,-0.130568054
Hottip,Sptlc1,0.065474086,0.397690006,-0.018087346
Gas5,Sptlc1,0.493850201,8.93E-12,0.275243132
Meg3,Sptlc1,0.14122661,0.067024366,0.178532165
Pvt1,Sptlc1,0.197860536,0.009918964,0.130783522
Kcnq1ot1,Sptlc1,0.242684033,0.001477122,0.336887388
Xist,Csnk2a1,0.476112151,6.05E-11,0.324577899
Malat1,Csnk2a1,-0.345504457,4.21E-06,0.050059217
Airn,Csnk2a1,0.411932056,2.63E-08,0.262778973
Hotair,Csnk2a1,0.080585199,0.297630818,0.054523211
H19,Csnk2a1,0.518518275,5.16E-13,0.124316343
Neat1,Csnk2a1,-0.565361181,1.17E-15,-0.130568054
Hottip,Csnk2a1,-0.066565788,0.389851323,-0.018087346
Gas5,Csnk2a1,0.723067544,1.25E-28,0.275243132
Meg3,Csnk2a1,0.162738614,0.034514071,0.178532165
Pvt1,Csnk2a1,0.03499462,0.651490826,0.130783522
Kcnq1ot1,Csnk2a1,0.355379895,2.12E-06,0.336887388
Xist,Palld,0.186489831,0.015194422,0.324577899
Malat1,Palld,-0.297800406,8.41E-05,0.050059217
Airn,Palld,0.686616159,6.74E-25,0.262778973
Hotair,Palld,0.068927678,0.373214041,0.054523211
H19,Palld,0.471108198,1.02E-10,0.124316343
Neat1,Palld,-0.299689898,7.54E-05,-0.130568054
Hottip,Palld,0.015451074,0.841961517,-0.018087346
Gas5,Palld,0.49524648,7.64E-12,0.275243132
Meg3,Palld,-0.082725656,0.284940857,0.178532165
Pvt1,Palld,-0.290650427,0.00012633,0.130783522
Kcnq1ot1,Palld,0.12841058,0.096143662,0.336887388
Xist,Itga11,0.464446081,2.01E-10,0.324577899
Malat1,Itga11,0.170388034,0.026771974,0.050059217
Airn,Itga11,0.129873333,0.092383181,0.262778973
Hotair,Itga11,0.044945554,0.56174666,0.054523211
