gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC6A9,305.2207213,0.703295997,0.169953214,4.138174148,3.50E-05,0.000350888
DUS4L,60.87998145,0.265216071,0.341211099,0.777278557,0.436994443,0.658665012
PCDHB16,5.747067942,-0.969218586,0.610449226,-1.587713677,0.112351099,0.279996296
PPP4R4,274.9262363,-0.725521561,0.371731357,-1.951736238,0.050969528,0.160393008
MTAP,4675.994906,1.649400856,0.133672676,12.33910252,5.58E-35,1.10E-32
MSX1,130.4181536,-0.197069769,0.423981784,-0.46480716,0.64206956,0.813695335
CDC25B,827.9495421,-0.246462654,0.182749777,-1.348634499,0.177454394,0.380377846
IL1R1,322.8989839,-0.568905703,0.161992108,-3.511934681,0.000444857,0.003334008
FAM126A,755.6196029,0.058061809,0.155949874,0.372310715,0.709661522,0.855696695
ICA1L,189.5201328,-0.452559146,0.144778063,-3.125882042,0.001772726,0.010809116
LOC101928728,37.8069328,0.0218177,0.29274762,0.074527336,0.940590791,0.975213365
OAZ2,554.1218944,-0.162505464,0.117392787,-1.384288316,0.16627019,0.364202493
TPM1,544.892552,-0.095840048,0.200926114,-0.476991497,0.633368176,0.807999347
BRD2,21281.23617,-0.122291401,0.193664771,-0.631459198,0.52774032,0.734161488
ADAMTSL3,3.83345531,-2.844550665,1.359178065,-2.092846213,0.036362885,0.124821724
DDX24,6356.153721,0.128069102,0.090727638,1.411577605,0.15807437,0.352276369
ARHGAP12,1116.91511,-0.310315106,0.133703351,-2.320922428,0.020291031,0.080472328
PITRM1,3581.66453,0.490276349,0.107327382,4.568045341,4.92E-06,5.97E-05
BNIP2,1489.448557,-0.02941233,0.103164621,-0.285100932,0.775566816,0.894001279
RAPGEF1,1010.75785,0.413397125,0.103919485,3.978052107,6.95E-05,0.000645141
TMEM121B,35.24782797,-1.038517673,0.487797254,-2.128994502,0.033254715,0.116798083
SAMD1,991.6135778,0.110373558,0.143867031,0.767191461,0.442967689,0.664270567
KLC4,179.8177016,-0.31322122,0.23904623,-1.310295584,0.190095861,0.397167142
ACTG1P20,96.17758479,-0.275417453,0.179478516,-1.534542739,0.124896187,0.301831366
RAB7A,1252.796701,0.367182594,0.135992517,2.700020566,0.006933519,0.033784031
SEMA3B,382.5693019,0.151305915,0.789446327,0.191660801,0.848007913,0.928995537
MAPKAPK3,1759.246935,0.157207137,0.103094129,1.524889332,0.127286703,0.305687956
DAP3,2733.435429,0.107110425,0.155495871,0.688831316,0.490929426,0.705390767
LRP8,615.3931926,0.542327012,0.103517306,5.238998513,1.61E-07,2.62E-06
CABP1,8.971500586,0.013356489,0.723368093,0.018464304,0.985268454,0.996043594
ZNF320,12.02125514,-0.967278475,0.56118071,-1.723648831,0.084771258,0.230683959
DST,6934.191387,0.226224666,0.180287033,1.254802756,0.209550372,0.425070987
DISC1,8.841356204,-1.070674631,0.653019895,-1.639574291,0.101093712,0.260916553
B3GALNT1,401.4227102,-0.365154068,0.210472533,-1.734925043,0.082754083,0.227102831
VPS37A,1026.213764,0.127426447,0.103698003,1.228822572,0.219138337,0.437693717
MXD3,193.1600687,0.268083737,0.191528163,1.399709224,0.161600411,0.357673266
MED16,695.474453,-0.517897198,0.166180724,-3.116469738,0.001830305,0.011110978
IKBKE,558.3288533,1.385683773,0.177540673,7.804880715,5.96E-15,2.52E-13
ALG13,519.3107144,-0.153264519,0.188304192,-0.813919849,0.415690869,0.641088922
SCARNA1,36.12408646,-0.048631604,0.307451715,-0.158176395,0.874317803,0.942524646
ANKRD11,2152.898367,0.075342788,0.173550785,0.434125309,0.664197448,0.828318238
CYTOR,504.2485875,-0.020162825,0.308395765,-0.065379709,0.94787168,0.97874254
