"XIST_group","RNAss","sample_type"
"Low XIST",0.351703538285551,"Normal Tissue"
"Low XIST",0.348479283823755,"Normal Tissue"
"Low XIST",0.384415043379281,"Normal Tissue"
"Low XIST",0.378451921211394,"Normal Tissue"
"Low XIST",0.400319127997986,"Normal Tissue"
"High XIST",0.0305630254772948,"Normal Tissue"
"High XIST",0.0496249148386661,"Normal Tissue"
"High XIST",0.107094773166431,"Normal Tissue"
"High XIST",0.0744879563868018,"Normal Tissue"
"High XIST",0.0643099032307576,"Normal Tissue"
"Low XIST",0.34417576275576,"Normal Tissue"
"High XIST",0.137287859269913,"Normal Tissue"
"High XIST",0.0619135133849029,"Normal Tissue"
"Low XIST",0.395111545828856,"Normal Tissue"
"High XIST",0.203338766445197,"Normal Tissue"
"Low XIST",0.925105347793912,"Normal Tissue"
"Low XIST",0.498568391871776,"Normal Tissue"
"High XIST",0.269887294074726,"Normal Tissue"
"High XIST",0.117290880326233,"Normal Tissue"
"High XIST",0.185151159828692,"Normal Tissue"
"Low XIST",0.509020551341184,"Normal Tissue"
"Low XIST",0.298596751501552,"Normal Tissue"
"Low XIST",0.368454054295561,"Normal Tissue"
"Low XIST",0.324508539537225,"Normal Tissue"
"Low XIST",0.378546192702465,"Normal Tissue"
"High XIST",0.139651627067068,"Normal Tissue"
"High XIST",0.0922340306615722,"Normal Tissue"
"High XIST",0.0469484727707903,"Normal Tissue"
"Low XIST",0.204053131971292,"Normal Tissue"
"Low XIST",0.0594210794811956,"Normal Tissue"
"Low XIST",0.364751991240587,"Normal Tissue"
"High XIST",0.162876108949847,"Normal Tissue"
"High XIST",0.15597198311416,"Normal Tissue"
"High XIST",0.0860814618052313,"Normal Tissue"
"High XIST",0.067425800807289,"Normal Tissue"
"Low XIST",0.862353875062112,"Normal Tissue"
"Low XIST",0.488205336151433,"Normal Tissue"
"Low XIST",0.262910551283346,"Normal Tissue"
"High XIST",0.268861208167517,"Normal Tissue"
"Low XIST",0.30139702263733,"Normal Tissue"
"High XIST",0.156560496484839,"Normal Tissue"
"High XIST",0.147152222022235,"Normal Tissue"
"Low XIST",0.922939229031525,"Normal Tissue"
"Low XIST",0.48743788716631,"Normal Tissue"
"High XIST",0.132226188513016,"Normal Tissue"
"Low XIST",0.360468400511129,"Normal Tissue"
"Low XIST",0.157045131046314,"Normal Tissue"
"Low XIST",0.238691088623066,"Normal Tissue"
"High XIST",0.16490743707576,"Normal Tissue"
"High XIST",0.154686838252313,"Normal Tissue"
"Low XIST",0.512876738966378,"Normal Tissue"
"Low XIST",0.566490323716095,"Normal Tissue"
"Low XIST",0.433613887127469,"Normal Tissue"
"Low XIST",0.354008178465697,"Normal Tissue"
"Low XIST",0.409825912008213,"Normal Tissue"
"Low XIST",0.409269225924474,"Normal Tissue"
"Low XIST",0.384149097308367,"Normal Tissue"
"Low XIST",0.416473904282371,"Normal Tissue"
"Low XIST",0.423967099528489,"Normal Tissue"
"Low XIST",0.390990560449831,"Normal Tissue"
"High XIST",0.0932984543926007,"Normal Tissue"
"High XIST",0.13684701251753,"Normal Tissue"
"High XIST",0.0623195930138801,"Normal Tissue"
"High XIST",0.0705189472303094,"Normal Tissue"
"Low XIST",0.336259963082573,"Normal Tissue"
"Low XIST",0.34887980641589,"Normal Tissue"
"High XIST",0.3203661265014,"Normal Tissue"
"High XIST",0.100647926388857,"Normal Tissue"
"High XIST",0.0619285643251255,"Normal Tissue"
"Low XIST",0.267868159898384,"Normal Tissue"
"High XIST",0.16236392442352,"Normal Tissue"
"High XIST",0.0789183605735453,"Normal Tissue"
"High XIST",0.034710831832982,"Normal Tissue"
"High XIST",0.517475223748358,"Normal Tissue"
"Low XIST",0.396240369693216,"Normal Tissue"
"High XIST",0.331709548547857,"Normal Tissue"
"Low XIST",0.52245536082191,"Normal Tissue"
"High XIST",0.192017232424689,"Normal Tissue"
"Low XIST",0.279481834028594,"Normal Tissue"
"Low XIST",0.417352565054169,"Normal Tissue"
"Low XIST",0.277040025698586,"Normal Tissue"
"Low XIST",0.406847060860537,"Normal Tissue"
"High XIST",0.175160192363013,"Normal Tissue"
"Low XIST",0.33270976071209,"Normal Tissue"
"High XIST",0.10265395652321,"Normal Tissue"
"High XIST",0.138165215736945,"Normal Tissue"
"Low XIST",0.212107601966985,"Normal Tissue"
"Low XIST",0.350016904855277,"Normal Tissue"
"Low XIST",0.396185842380262,"Normal Tissue"
"Low XIST",0.512388970527587,"Normal Tissue"
"High XIST",0.271700044399913,"Normal Tissue"
"High XIST",0.306616416982441,"Normal Tissue"
"Low XIST",0.353798899078003,"Normal Tissue"
"Low XIST",0.254589361946254,"Normal Tissue"
"Low XIST",0.370133643084567,"Normal Tissue"
"High XIST",0.25905476967729,"Normal Tissue"
"High XIST",0.0964571102571614,"Normal Tissue"
"Low XIST",0.508406786649217,"Normal Tissue"
"High XIST",0.264101862328055,"Normal Tissue"
"Low XIST",0.460728387603194,"Normal Tissue"
"Low XIST",0.189938973334719,"Normal Tissue"
"High XIST",0.212744063310171,"Normal Tissue"
"High XIST",0.148085226144502,"Normal Tissue"
"High XIST",0.220306017641285,"Normal Tissue"
"High XIST",0.136717197031775,"Normal Tissue"
"Low XIST",0.497018619083524,"Normal Tissue"
"High XIST",0.206284288547571,"Normal Tissue"
"Low XIST",0.385971326601408,"Normal Tissue"
"Low XIST",0.42681177998844,"Normal Tissue"
"Low XIST",0.413618920813357,"Normal Tissue"
"Low XIST",0.386885778171513,"Normal Tissue"
"Low XIST",0.477760532536416,"Normal Tissue"
"Low XIST",0.369917404657868,"Normal Tissue"
"Low XIST",0.379650517142787,"Normal Tissue"
"High XIST",0.0776182334617358,"Normal Tissue"
"High XIST",0.0297522245553393,"Normal Tissue"
"High XIST",0.035377290472831,"Normal Tissue"
"High XIST",0.158227025908975,"Normal Tissue"
"High XIST",0.131909530432798,"Normal Tissue"
"High XIST",0.0135761596878949,"Normal Tissue"
"High XIST",0.156875930451934,"Normal Tissue"
"High XIST",0.541519576156104,"Normal Tissue"
"High XIST",0.163543981457694,"Normal Tissue"
"Low XIST",0.491183906571602,"Normal Tissue"
"High XIST",0.200529896260363,"Normal Tissue"
"High XIST",0.234080243487861,"Normal Tissue"
"Low XIST",0.175997933750226,"Normal Tissue"
"Low XIST",0.397723705268344,"Normal Tissue"
"High XIST",0.221702818453319,"Normal Tissue"
"High XIST",0.100922741442865,"Normal Tissue"
"High XIST",0.12464663215731,"Normal Tissue"
