"gene_name","log2FoldChange","padj","cell_line","deg","delabel"
"ITGB8",0.552675793,0.262435572,"X9","none",NA
"SSH1",0.053644565,0.921518547,"X9","none",NA
"CRKL",-0.165631789,0.263726493,"X9","none",NA
"SRCIN1",0.556974371,0.111892853,"X9","none",NA
"CAPN1",-0.426369903,0.019217649,"X9","none",NA
"PTPRJ",1.618842853,5.96e-12,"X9","upregulated","PTPRJ"
"ANK3",-6.999428614,5.92e-16,"X9","downregulated","ANK3"
"HAX1",0.120178518,0.687204662,"X9","none",NA
"SCRIB",-0.151562524,0.352073117,"X9","none",NA
"PRKD1",-0.799705528,0.007508337,"X9","downregulated","PRKD1"
"CD151",0.711346576,4.71e-06,"X9","upregulated","CD151"
"PKD1",-0.283028747,0.55675081,"X9","none",NA
"EPB41",0.315581499,0.045881005,"X9","none",NA
"LPXN",0.514787758,0.051984655,"X9","none",NA
"ADAM12",-0.341242802,0.931548505,"X9","none",NA
"VAV2",0.23657737,0.256928649,"X9","none",NA
"KEAP1",0.064244953,0.728149462,"X9","none",NA
"MACF1",-0.333945295,0.103075142,"X9","none",NA
"NUMB",-0.11426539,0.702283895,"X9","none",NA
"MET",-0.546450928,0.181766825,"X9","none",NA
"CD2AP",-0.005313117,0.987891298,"X9","none",NA
"PIP5K1C",0.209848653,0.631215604,"X9","none",NA
"CRK",-0.088261735,0.720561714,"X9","none",NA
"RHOU",-0.42266268,0.108011182,"X9","none",NA
"SIRPA",1.3599036,1.96e-14,"X9","upregulated","SIRPA"
"PABPC1",1.098471839,0.000246786,"X9","upregulated","PABPC1"
"ITGA4",-4.8030973,0.000282363,"X9","downregulated","ITGA4"
"GRB2",0.195362171,0.114851802,"X9","none",NA
"TESK1",0.048944794,0.882638598,"X9","none",NA
"TNS1",-0.50269198,0.318254374,"X9","none",NA
"LAYN",-7.642420731,0.005928053,"X9","downregulated","LAYN"
"ITGB1",0.281413057,0.598700854,"X9","none",NA
"MAPK8IP3",-0.06921462,0.886251093,"X9","none",NA
"ILKAP",-0.351319643,0.122444011,"X9","none",NA
"CGNL1",-1.665927379,0.00505424,"X9","downregulated","CGNL1"
"SLC9A1",0.059609377,0.951295476,"X9","none",NA
"PTPN1",0.078513604,0.646479026,"X9","none",NA
"TRIO",-0.330779388,0.130206732,"X9","none",NA
"CYTH2",-0.500278111,0.015438978,"X9","none",NA
"IRS1",-8.32861917,2.46e-09,"X9","downregulated","IRS1"
"HSPB1",0.667269858,0.670600095,"X9","none",NA
"MARCKS",0.97591639,5.81e-06,"X9","upregulated","MARCKS"
"SLC3A2",0.190168881,0.52503929,"X9","none",NA
"PTPN11",0.09530566,0.677906166,"X9","none",NA
"WASL",-0.089980256,0.795622595,"X9","none",NA
"DNM2",0.082577836,0.683847288,"X9","none",NA
"LIMA1",0.000526099,1,"X9","none",NA
"ARHGEF6",0.874777125,0.018774778,"X9","upregulated","ARHGEF6"
"MYO6",-0.360761707,0.252677501,"X9","none",NA
"PRKCD",0.473221433,0.018021288,"X9","none",NA
"ITGAE",0.290894771,0.363557947,"X9","none",NA
"STAT3",-0.598162342,0.052974993,"X9","none",NA
"CDH24",-0.545886083,0.135061803,"X9","none",NA
"CASS4",-0.341247719,0.934116019,"X9","none",NA
"WASF2",-0.09195506,0.792221144,"X9","none",NA
"ADAM10",0.283743286,0.387341404,"X9","none",NA
"MAPK1",-0.00306897,0.988208656,"X9","none",NA
"FERMT1",0.230688235,0.360621009,"X9","none",NA
"SH3BP1",0.38061797,0.031656571,"X9","none",NA
"SHARPIN",0.10226605,0.66481298,"X9","none",NA
"PPP2CA",0.066070105,0.756801538,"X9","none",NA
"SIPA1L3",0.202743547,0.523711775,"X9","none",NA
"LIMK1",1.326620992,3.41e-07,"X9","upregulated","LIMK1"
"ITGAV",-0.100744788,0.818034944,"X9","none",NA
"PTPRH",0.440773979,0.44501592,"X9","none",NA
"ASAP2",0.031184049,0.90739294,"X9","none",NA
"NCK2",-0.517754202,0.003158221,"X9","none",NA
"CSNK1E",-0.602950872,0.325187639,"X9","none",NA
"SORBS3",-0.030753657,0.90562899,"X9","none",NA
"CSK",0.378917157,0.001100663,"X9","none",NA
"ACTR3",-0.146121446,0.464905927,"X9","none",NA
"THY1",0.434793289,0.503632432,"X9","none",NA
"NISCH",-0.526106951,0.055417699,"X9","none",NA
"ITGB2",2.187287278,0.171752369,"X9","none",NA
"MYOM1",-1.173845739,0.190233174,"X9","none",NA
"CDH12",1.006359962,0.493195981,"X9","none",NA
"HEG1",-0.533936358,0.232420427,"X9","none",NA
"SYNM",0.048968246,0.923054386,"X9","none",NA
"ARVCF",-0.494298657,0.339710179,"X9","none",NA
"NME1",0.598529805,0.03687118,"X9","upregulated","NME1"
"CBL",-0.378206443,0.279289509,"X9","none",NA
"MMP14",-1.103945334,0.127137906,"X9","none",NA
"WIPF2",-0.441986438,0.076741495,"X9","none",NA
"SHROOM3",0.224598171,0.189042206,"X9","none",NA
"TRIOBP",0.275473296,0.338135613,"X9","none",NA
"VIM",0.662858084,0.002186705,"X9","upregulated","VIM"
"CFL1",-0.015623171,0.948116126,"X9","none",NA
"ACTN4",-0.049311787,0.852195683,"X9","none",NA
"ARF6",0.879960438,7.88e-08,"X9","upregulated","ARF6"
"ARPC2",-0.585289457,0.000729573,"X9","downregulated","ARPC2"
"SPTBN1",-0.011350269,0.96859131,"X9","none",NA
"PPM1F",0.111420799,0.57688083,"X9","none",NA
"MYH9",0.062917913,0.928886155,"X9","none",NA
"GAB1",-2.718667577,8.93e-26,"X9","downregulated","GAB1"
"SDC4",1.261250145,1.42e-08,"X9","upregulated","SDC4"
"CORO1B",0.161761191,0.232621564,"X9","none",NA
"SDC1",2.442756051,3.02e-09,"X9","upregulated","SDC1"
"DYNC1H1",-0.286147281,0.545439251,"X9","none",NA
"PTPRU",-0.576818787,0.12032612,"X9","none",NA
"ITGA9",-2.641382862,0.25887616,"X9","none",NA
"PPM1M",0.291100286,0.62637577,"X9","none",NA
"ABL1",0.127633723,0.446012957,"X9","none",NA
"PIK3CA",-0.132977828,0.476308139,"X9","none",NA
"TUBA1B",0.004631311,0.989759626,"X9","none",NA
"CDH22",0,1,"X9","none",NA
"INSR",-0.137015416,0.371971317,"X9","none",NA
"PRKCA",-0.955229575,0.000504494,"X9","downregulated","PRKCA"
"FERMT2",0.397590718,0.067683861,"X9","none",NA
"FAT1",-2.855431369,1e-75,"X9","downregulated","FAT1"
"SRC",-0.383013784,0.210032818,"X9","none",NA
"ITGA1",-5.684035625,5.26e-05,"X9","downregulated","ITGA1"
"VASP",0.050332142,0.788402779,"X9","none",NA
"CDH15",0.219542586,0.86671153,"X9","none",NA
"PTPN14",-0.956759889,5.63e-05,"X9","downregulated","PTPN14"
"TLN1",-0.04216754,0.916967334,"X9","none",NA
"HSPA2",-0.204653679,0.929819034,"X9","none",NA
"ITGB7",-0.483924509,0.794580564,"X9","none",NA
"ROCK1",-0.206826703,0.035566899,"X9","none",NA
"INPPL1",-0.561115426,0.003977164,"X9","none",NA
"TRIP6",0.250634686,0.337204073,"X9","none",NA
"DEF6",1.083296585,6.23e-20,"X9","upregulated","DEF6"
"ITGA3",0.093354467,0.790856936,"X9","none",NA
"ACTB",-0.09317418,0.620442091,"X9","none",NA
"PDZD2",3.945137176,3.21e-20,"X9","upregulated","PDZD2"
"CALR",0.209755852,0.195109373,"X9","none",NA
"ABI2",-0.549932492,0.011744451,"X9","none",NA
"PAK1",0.097627787,0.633924991,"X9","none",NA
