gene_name,bicor_gtex,p_gtex,bicor_tcga,p_tcga,z_gtex,z_tcga,se_diff,z_diff,p_diff,padj_diff,delta_bicor
CASP3,0.316314936,6.87E-135,-0.030295621,0.038930997,0.327547009,-0.030304895,0.019695029,18.16965615,8.98E-74,1.66E-73,0.346610557
CASP8,0.321607554,1.26E-139,-0.017678277,0.228300189,0.333439085,-0.017680119,0.019695029,17.82780847,4.30E-71,7.60E-71,0.339285831
CASS4,0.234439977,3.45E-73,0.03413314,0.020065718,0.238882532,0.034146405,0.019695029,10.39531994,2.60E-25,3.29E-25,0.200306837
CAV1,0.466339411,5.16819753704994e-311,0.021086246,0.150705291,0.505382171,0.021089372,0.019695029,24.58959571,1.63E-133,4.74E-133,0.445253165
CBL,0.46526664,0.00E+00,0.171666695,4.64E-32,0.504012141,0.173383462,0.019695029,16.78741777,3.02E-63,5.17E-63,0.293599945
CBLL1,0.556292588,0,0.041883879,0.004298864,0.627448181,0.041908397,0.019695029,29.73033382,3.11E-194,1.58E-193,0.514408709
CD151,0.454928224,3.31E-294,-0.069011991,2.50E-06,0.490897181,-0.069121865,0.019695029,28.4345379,7.57E-178,3.42E-177,0.523940215
CD2AP,0.506571745,0,0.044052952,0.002670089,0.558107256,0.044081483,0.019695029,26.09926472,3.72E-150,1.27E-149,0.462518793
CD47,0.594398476,0,-0.020999915,0.152384396,0.684440302,-0.021003003,0.019695029,35.81834314,5.72E-281,1.06E-279,0.615398391
CDC42,0.375753092,7.55E-194,-0.121190134,1.14E-16,0.395105294,-0.121788726,0.019695029,26.24489773,8.17E-152,2.84E-151,0.496943226
CDH1,0.144036813,3.78E-28,0.031062919,0.035022367,0.145045491,0.031072916,0.019695029,5.786870144,7.17E-09,7.98E-09,0.112973894
CDH10,0.082027143,8.32E-08,-0.005569791,0.778022996,0.082211861,-0.005569849,0.019695029,4.45704904,8.31E-06,8.98E-06,0.087596934
CDH11,0.471804987,4.3453271177996e-318,0.046720296,0.001445484,0.512389625,0.046754334,0.019695029,23.64227505,1.42E-123,3.67E-123,0.425084691
CDH12,-0.099549472,4.01E-10,-0.120105602,2.33E-10,-0.09988029,-0.120688175,0.019695029,1.056504417,0.290737824,0.294261919,0.02055613
CDH15,0.234949076,3.31E-71,-0.130813503,1.56E-18,0.239421308,-0.131567427,0.019695029,18.83666867,3.78E-79,7.26E-79,0.365762579
CDH18,-0.029112853,0.083814654,-0.047128132,0.018052275,-0.029121082,-0.04716307,0.019695029,0.91606811,0.359631173,0.36289067,0.018015279
CDH19,0.096685295,3.16E-13,-0.037389965,0.033103579,0.096988269,-0.037407403,0.019695029,6.823837272,8.86E-12,1.02E-11,0.13407526
CDH2,0.022369506,0.088868143,0.083637917,1.15E-08,0.022373238,0.083833764,0.019695029,-3.120611079,0.001804762,0.001895568,-0.061268411
CDH20,0.1731319,2.84E-39,0.023297188,0.137369073,0.174893549,0.023301404,0.019695029,7.696974992,1.39E-14,1.62E-14,0.149834712
CDH22,0.004751706,0.725345976,0.080612577,4.56E-07,0.004751742,0.080787878,0.019695029,-3.860676558,0.000113074,0.000120276,-0.075860871
CDH24,0.484236015,0,0.017535031,0.232092682,0.528503092,0.017536829,0.019695029,25.94392041,2.13E-148,7.04E-148,0.466700984
CDH3,0.164967355,4.89E-36,-0.082598081,1.84E-08,0.166488762,-0.082786694,0.019695029,12.65677024,1.03E-36,1.42E-36,0.247565436
CDH4,0.181999798,2.68E-44,0.21860662,7.58E-51,0.184050222,0.22219233,0.019695029,-1.936636305,0.052789817,0.054251689,-0.036606822
CDH5,0.405660305,5.11E-228,0.201472132,9.44E-44,0.430405703,0.204266497,0.019695029,11.48204491,1.62E-30,2.14E-30,0.204188173
CDH6,0.265138376,1.79E-92,0.048611951,0.00091913,0.271627284,0.048650297,0.019695029,11.32148562,1.03E-29,1.35E-29,0.216526425
CDH7,0.006636294,0.692933108,0.059807075,0.001526975,0.006636391,0.059878536,0.019695029,-2.703329093,0.006864874,0.007165212,-0.053170781
CDH8,0.202626037,1.57E-49,0.109394771,3.04E-13,0.205469513,0.109834315,0.019695029,4.855803907,1.20E-06,1.30E-06,0.093231266
CDH9,-0.120471724,5.22E-07,0.059060474,0.05377672,-0.121059672,0.059129288,0.019695029,-9.148956374,5.75E-20,6.96E-20,-0.179532198
CEACAM1,0.175095011,4.22E-41,-0.034429318,0.018934362,0.176918034,-0.034442932,0.019695029,10.73169107,7.23E-27,9.28E-27,0.209524329
CFL1,0.17974399,2.69E-43,-0.342604285,4.19E-128,0.181718119,-0.35704018,0.019695029,27.35503972,9.41E-165,3.83E-164,0.522348275
CGNL1,0.387680949,8.10E-207,0.238394405,4.99E-61,0.409067889,0.243071078,0.019695029,8.428360909,3.51E-17,4.14E-17,0.149286544
CIB1,0.300368586,3.45E-121,-0.052013786,0.000389958,0.309924693,-0.052060769,0.019695029,18.37953441,1.92E-75,3.58E-75,0.352382372
CIB2,0.181764391,3.03E-44,-0.142503998,1.66E-22,0.183806761,-0.143480553,0.019695029,16.61776252,5.18E-62,8.74E-62,0.324268389
CLIP1,0.356042015,7.33E-173,0.210873213,7.45E-48,0.372345985,0.21408502,0.019695029,8.035579171,9.31E-16,1.10E-15,0.145168802
CORO1B,0.539867701,0,-0.156537897,7.11E-27,0.603968864,-0.157835639,0.019695029,38.6800398,0,0,0.696405598
CORO2A,0.076133143,6.46E-09,0.051233576,0.000477377,0.076280752,0.051278474,0.019695029,1.269471522,0.204272941,0.208645756,0.024899567
CRK,0.516519235,0,0.052944917,0.000305761,0.57158074,0.052994471,0.019695029,26.33082034,8.51E-153,2.99E-152,0.463574318
CRKL,0.400985311,6.24E-223,0.055479408,0.000154663,0.424822471,0.055536435,0.019695029,18.75021547,1.93E-78,3.68E-78,0.345505903
CSK,0.272569878,2.65E-99,-0.168683031,5.35E-31,0.279637859,-0.170310813,0.019695029,22.84579901,1.61E-115,3.89E-115,0.441252909
CSNK1E,0.645874442,0,0.067915735,3.60E-06,0.768187782,0.068020446,0.019695029,35.55045986,8.17E-277,1.37E-275,0.577958707
CSNK2A1,0.561031953,0,-0.108937131,9.66E-14,0.634337883,-0.109371155,0.019695029,37.76125644,0,0,0.669969084
CSRP1,0.370419335,5.05E-188,-0.037823199,0.009928271,0.388909035,-0.037841251,0.019695029,21.6679187,4.12E-104,9.62E-104,0.408242534
CTNNA1,0.535849735,0,0.090139763,7.51E-10,0.598315367,0.090385094,0.019695029,25.78977033,1.15E-146,3.75E-146,0.445709972
CTNNA2,0.068925263,8.52E-07,-0.087098556,1.39E-07,0.069034723,-0.087319812,0.019695029,7.938781662,2.04E-15,2.39E-15,0.156023819
CTNNA3,0.012239051,0.359901441,0.097018263,2.76E-10,0.012239662,0.09732439,0.019695029,-4.320111844,1.56E-05,1.68E-05,-0.084779212
CTNNB1,0.710545212,0,0.071349799,1.13E-06,0.888284162,0.071471246,0.019695029,41.47304982,0,0,0.639195413
CTNND1,0.538122342,0,0.075714976,2.38E-07,0.601508823,0.075860161,0.019695029,26.68940798,6.25E-157,2.34E-156,0.462407366
CTNND2,0.191169896,4.39E-48,0.088810872,4.84E-09,0.193551161,0.089045478,0.019695029,5.306195948,1.12E-07,1.23E-07,0.102359024
CTTN,0.629178833,0,0.061208296,2.98E-05,0.740055733,0.061284906,0.019695029,34.46406854,2.77E-260,3.43E-259,0.567970537
CYTH2,0.504071432,0,0.193683593,1.67E-40,0.554749549,0.196161516,0.019695029,18.20703257,4.54E-74,8.42E-74,0.310387839
DBN1,0.468303067,5.70429380866136e-314,-0.145667581,1.87E-23,0.507894492,-0.146711209,0.019695029,33.23710282,3.14E-242,2.99E-241,0.613970648
DEF6,0.202409702,1.15E-54,0.002196945,0.880995723,0.205243926,0.002196949,0.019695029,10.30955469,6.38E-25,7.98E-25,0.200212757
DIAPH1,0.235400346,7.91E-74,-0.05205095,0.000386219,0.239898997,-0.052098034,0.019695029,14.82592547,9.96E-50,1.51E-49,0.287451296
DLC1,0.469090729,4.15518378010875e-315,0.227606702,1.16E-55,0.508903897,0.231663954,0.019695029,14.07664563,5.29E-45,7.78E-45,0.241484027
DLG1,0.458985574,4.14E-300,0.127176382,3.27E-18,0.496025358,0.127868757,0.019695029,18.69286931,5.66E-78,1.07E-77,0.331809192
DLG5,0.583763223,0,0.182627223,3.95E-36,0.668152403,0.184699218,0.019695029,24.54696497,4.66E-133,1.34E-132,0.401136
DNM2,0.298591359,1.03E-119,-0.075892651,2.23E-07,0.307972364,-0.076038863,0.019695029,19.49787576,1.14E-84,2.32E-84,0.37448401
DOCK1,0.584204913,0,0.280307222,1.26E-84,0.668822684,0.288015461,0.019695029,19.33519493,2.72E-83,5.43E-83,0.303897691
DYNC1H1,0.483358584,0,0.132414691,1.27E-19,0.527357531,0.13319684,0.019695029,20.01320698,4.23E-89,9.11E-89,0.350943893
ECT2,0.284070935,4.68E-108,-0.173394723,1.10E-32,0.292104819,-0.175164507,0.019695029,23.72524188,1.98E-124,5.17E-124,0.457465658
EGFR,0.447262272,2.86E-283,0.097147651,3.23E-11,0.481272672,0.097455009,0.019695029,19.4880477,1.39E-84,2.79E-84,0.350114621
ELMO1,0.098822807,4.76E-14,0.194259134,9.69E-41,0.099146405,0.196759558,0.019695029,-4.956233048,7.19E-07,7.84E-07,-0.095436327
ENAH,0.486290806,0,-0.019566498,0.182383501,0.531190784,-0.019568996,0.019695029,27.96440572,4.40E-172,1.86E-171,0.505857304
ENG,0.469526931,8.00445238887804e-316,0.033234199,0.023493576,0.50946331,0.033246443,0.019695029,24.17954648,3.65E-129,1.02E-128,0.436292732
EPB41,0.222861285,3.59E-66,0.146940902,7.67E-24,0.226664923,0.148012382,0.019695029,3.993522499,6.51E-05,6.95E-05,0.075920383
EXOC3,0.575322325,0,0.010166283,0.488446816,0.655442356,0.010166633,0.019695029,32.76338028,1.96E-235,1.68E-234,0.565156042
EZR,0.204839037,5.73E-56,0.032491609,0.026782867,0.207778347,0.03250305,0.019695029,8.899468882,5.61E-19,6.74E-19,0.172347428
FABP3,0.078271575,2.42E-09,-0.128811633,1.20E-18,0.078432007,-0.129531244,0.019695029,10.55917468,4.61E-26,5.87E-26,0.207083208
FAT1,0.523589718,0,0.021703698,0.139104419,0.581272533,0.021707107,0.019695029,28.41150568,1.46E-177,6.49E-177,0.50188602
FBLIM1,0.455231897,1.71E-294,-0.152590976,1.33E-25,0.491280171,-0.153792111,0.019695029,32.75305074,2.75E-235,2.29E-234,0.607822873
FER,0.726643805,0,0.281114074,4.00E-85,0.921579559,0.28889133,0.019695029,32.12425994,2.02E-226,1.53E-225,0.445529731
FERMT1,0.272569148,1.80E-97,-0.036601547,0.013232138,0.279637071,-0.036617905,0.019695029,16.05760401,5.06E-58,8.20E-58,0.309170695
FERMT2,0.49460398,0,0.125650432,8.23E-18,0.542137117,0.126318025,0.019695029,21.11289572,6.05E-99,1.38E-98,0.368953548
FERMT3,0.283961255,5.70E-108,-0.065677339,7.45E-06,0.291985515,-0.065772018,0.019695029,18.16486453,9.79E-74,1.80E-73,0.349638594
FHL2,0.46217893,8.23E-305,-0.140027713,8.88E-22,0.500078549,-0.140953843,0.019695029,32.54792846,2.24E-232,1.82E-231,0.602206643
FLNA,0.4543953,1.95E-293,-0.111732602,2.21E-14,0.490225385,-0.112201079,0.019695029,30.58774206,1.78E-205,1.03E-204,0.566127902
FLNB,0.625790561,0,0.056749856,0.000108729,0.734466919,0.056810896,0.019695029,34.40746522,1.95E-259,2.33E-258,0.569040705
FSCN1,0.232594649,4.48E-72,-0.245733449,7.35E-65,0.236930773,-0.250866965,0.019695029,24.76755631,2.01E-135,5.93E-135,0.478328098
FYN,0.222772597,4.05E-66,0.129059298,1.03E-18,0.226571602,0.129783096,0.019695029,4.914362241,8.91E-07,9.69E-07,0.093713299
GAB1,0.477350649,0,0.218092628,3.84E-51,0.519547439,0.221652606,0.019695029,15.12538187,1.10E-51,1.70E-51,0.259258021
GIT1,0.210383749,5.23E-59,-0.04198971,0.004202111,0.213572834,-0.042014414,0.019695029,12.97724661,1.65E-38,2.30E-38,0.252373459
GIT2,0.525672024,0,0.223397972,1.23E-53,0.584145624,0.22722973,0.019695029,18.12213098,2.13E-73,3.85E-73,0.302274052
GNA12,0.40124043,3.08E-223,-0.061047768,3.13E-05,0.425126506,-0.061123776,0.019695029,24.68898545,1.40E-134,4.11E-134,0.462288198
GRB2,0.313594733,1.72E-132,0.018427839,0.209174293,0.324527254,0.018429925,0.019695029,15.54185726,1.81E-54,2.86E-54,0.295166894
GRB7,0.246243519,8.10E-80,-0.113496893,1.64E-14,0.251409887,-0.113988033,0.019695029,18.55279937,7.74E-77,1.46E-76,0.359740412
HAX1,0.465241904,0.00E+00,-0.237512712,1.37E-60,0.503980571,-0.242136465,0.019695029,37.88352069,0,0,0.702754616
HEG1,0.482197079,0,0.199475851,6.61E-43,0.525843035,0.202186625,0.019695029,16.43340618,1.10E-60,1.84E-60,0.282721228
HRAS,0.135971359,2.49E-25,-0.097947885,2.22E-11,0.136818735,-0.098262931,0.019695029,11.9360914,7.67E-33,1.03E-32,0.233919244
HSPA2,0.055311782,2.51E-05,-0.063689445,1.40E-05,0.055368293,-0.063775771,0.019695029,6.049448502,1.45E-09,1.62E-09,0.119001227
HSPB1,0.230615026,7.49E-71,-0.214999641,1.02E-49,0.234838942,-0.218407443,0.019695029,23.01323781,3.44E-117,8.44E-117,0.445614667
ILK,0.530168255,0,-0.112441673,1.51E-14,0.590379169,-0.112919172,0.019695029,35.70943426,2.82E-279,4.96E-278,0.642609928
ILKAP,0.655488386,0,0.092920104,2.22E-10,0.78486177,0.093188927,0.019695029,35.11915851,3.44E-270,5.47E-269,0.562568282
