,N4_2,N4_3,N4_4,N7_2,N7_3,N7_4,N9_2,N9_3,N9_4
WASH7P,173,165,194,188,221,245,312,307,163
LOC729737,31,45,24,33,105,37,39,33,25
TGIF1,1269,1001,1476,1872,982,1630,889,709,687
PRDX6,5622,4394,7023,9144,6017,9190,9384,7799,7218
CIC,600,704,654,1187,1705,1144,1113,990,780
LOC100133331,7,11,4,19,16,13,9,10,6
LOC100288069,25,34,34,41,47,49,45,49,22
FAM87B,13,9,24,23,16,10,22,15,20
LINC00115,50,38,53,51,39,53,54,59,53
LINC01128,213,214,264,389,286,397,384,327,288
FAM41C,1,0,0,0,0,0,0,0,0
LINC02593,26,36,40,107,85,103,99,67,40
PLEC,5057,5084,5590,8812,11695,9231,7120,7496,5531
PLEKHN1,272,260,291,461,423,435,396,377,266
MPP2,624,592,792,1328,1370,1236,1198,980,908
ELN,1,0,0,0,0,0,0,0,1
SEPTIN12,0,0,2,1,1,3,3,1,1
RBM19,831,832,1044,1280,1193,1413,1350,1196,1063
CCDC120,106,87,93,157,237,146,166,166,138
INO80D,1034,1329,966,914,1289,936,858,747,657
CCDC34,490,338,517,711,427,675,832,708,642
C12orf43,324,223,401,529,353,501,483,422,392
LOC100288175,25,22,22,60,46,46,28,23,25
CCDC169,0,0,0,0,0,0,0,0,0
RAD17,98,81,245,229,56,106,143,97,126
SH2D3C,8,4,6,11,13,10,8,5,1
ZNF41,434,355,526,660,552,749,394,350,306
VIL1,6,2,5,9,5,15,29,11,17
MDK,4,10,6,16,17,10,27,25,17
ALOX15B,0,0,0,1,2,1,2,1,0
SLC25A1,1253,1055,1492,2291,1828,2229,1952,1620,1447
DUSP9,370,265,305,647,368,561,1026,778,685
UQCC3,268,207,324,368,210,402,468,386,277
MORC4,337,317,451,794,636,728,616,484,471
SCNN1D,86,71,74,161,156,118,96,103,95
MRTFB,606,945,654,899,1401,1004,791,727,581
SNORD167,3,13,4,12,21,13,11,22,15
PUSL1,295,251,293,620,425,501,581,541,444
MSRB3,3149,2830,3703,5691,4015,5510,4391,3651,3393
FGFR3,45,49,52,658,580,537,946,803,700
EWSR1,4990,4080,5920,7647,5143,7572,7025,6464,5404
TMA7,3486,2297,3858,4659,2285,4086,4999,4161,3640
NUPR1,28,8,23,13,5,15,5,2,5
OSTF1,229,196,307,662,388,578,575,487,390
ORC3,1247,1006,1540,1886,1304,1757,1782,1404,1382
MXRA8,38,21,49,18,11,18,2,3,4
SERPINC1,0,2,0,0,2,2,0,0,0
SPRED2,488,607,592,760,959,817,747,677,642
AK8,10,11,18,22,35,26,17,10,12
GALNS,465,355,528,678,566,730,554,441,356
FBXW8,164,174,208,391,348,364,302,254,218
IKBKG,53,25,64,97,90,103,87,70,44
PSME1,1299,1002,1701,2344,1538,2380,2133,1697,1630
SETDB1,882,844,1126,1677,1260,1827,1592,1310,1214
MRPL20-AS1,337,266,437,494,386,601,576,509,483
PAQR3,407,369,468,606,374,570,494,403,389
LINC01770,13,10,11,20,31,20,23,25,14
CARD8,281,249,345,264,226,262,262,252,220
PPIP5K2,1507,1348,1857,3783,2403,3446,3052,2337,2192
ST18,0,0,0,1,0,0,0,0,0
LOC105378586,20,17,20,19,20,30,26,21,15
IFT81,1066,961,1358,1100,779,1051,909,700,689
ASAP3,178,171,221,444,465,447,268,194,187
CRELD1,54,58,83,133,99,128,74,71,63
NLRP2,4,0,2,5,2,4,4,2,2
ZNF232,288,255,433,360,255,410,358,313,298
MMP23A,0,0,0,0,0,0,1,2,0
CAST,2275,2051,2472,4286,4176,3801,2604,2115,1908
SCN1A,0,0,0,0,2,1,0,0,0
AASDH,308,278,409,459,375,463,489,346,380
SUMO3,663,495,785,798,466,706,644,579,496
AFP,0,0,1,0,0,0,1,2,0
AFM,0,0,0,0,0,0,1,0,0
CASP3,1383,1044,1717,2449,1388,2325,1892,1536,1470
CALD1,899,581,1005,1636,650,1326,798,724,632
IDE,1737,1456,2058,2638,1770,2468,2408,1833,1721
DAXX,39,22,50,83,32,59,76,44,38
SGCE,191,185,308,574,419,540,497,427,393
HLA-C,1357,1127,1676,2741,2574,2429,2711,2728,2051
CNTD1,3,2,13,11,13,4,4,6,8
EBAG9,226,178,231,339,205,305,352,283,315
IGF1,0,0,0,2,3,0,0,0,0
SLC11A2,1058,851,1187,1590,1261,1616,1617,1360,1258
CD4,1,0,5,1,2,4,0,1,0
RMDN2,57,64,77,72,44,67,52,49,36
CENPX,851,684,1059,1619,1036,1526,1703,1551,1259
OGFOD3,216,173,245,405,318,405,359,323,276
SLC25A39,1202,1082,1459,3204,2555,3174,2941,2636,2059
ELP4,325,261,307,319,252,344,381,336,274
C2,1,2,1,1,0,0,0,1,3
TSNARE1,52,46,66,82,100,85,63,54,39
TDRP,331,328,403,816,607,844,751,650,541
RAB5C,1154,1032,1363,1837,1515,1869,1794,1469,1338
LOC105378591,2,3,3,8,5,9,2,2,2
RRAGB,201,166,235,261,187,284,259,206,205
ELF3-AS1,0,0,0,4,1,3,0,0,0
RDH13,1,0,1,0,0,0,2,0,1
ULK3,707,616,803,884,675,996,885,849,657
GTF2IP20,80,63,122,133,137,124,124,106,95
PRKCZ-AS1,6,12,10,9,12,14,7,7,9
MGST2,1,0,0,0,0,2,0,0,0
YJEFN3,59,51,52,68,57,85,64,59,45
FBXO11,728,814,801,1056,1378,1192,1021,914,852
FAAP20,352,314,384,536,488,515,541,458,410
ATG16L1,1082,1013,1375,1143,873,1281,1389,1309,1138
NFIC,874,1126,817,939,2060,1011,921,895,719
PBRM1,1573,1415,1724,2873,2235,2781,2462,1957,1851
LOC100129534,12,16,15,22,32,23,10,13,15
PRDM15,371,430,513,647,533,712,587,537,446
CPA4,0,1,4,1,0,0,0,0,0
ADCY3,1063,1044,1316,2186,2035,2317,2036,1878,1483
HROB,180,157,189,282,305,318,285,255,239
PLCH2,0,0,0,0,0,0,0,0,1
CRCP,771,561,845,1725,1002,1573,1800,1454,1391
SARS1,1608,1260,2077,2334,1634,2492,2384,1974,1979
SORD,668,610,750,1091,828,1068,1062,910,803
RMDN3,539,431,612,1045,700,1060,1166,990,820
RNF5,0,1,0,1,1,1,0,1,0
COPG2,370,372,438,347,390,357,598,457,429
EPN3,38,32,44,217,227,190,174,156,127
PRDM16-DT,1,1,2,28,28,21,42,39,25
BAG6,84,65,79,153,185,165,185,174,144
ZNF14,381,351,488,442,337,451,403,277,329
MIR4251,0,0,0,1,0,1,1,2,1
ADCY6,528,492,672,1175,1176,1335,916,982,833
PPP1CC,4421,3310,4907,7258,4316,6618,7370,6000,5454
ILF3,6510,5969,7369,9647,8206,9681,9352,8351,6908
C19orf44,72,86,142,114,158,125,123,124,130
KLF7,0,2,1,5,0,1,0,1,0
CHRAC1,513,401,593,794,456,715,938,771,698
FOXD3,49,40,48,36,32,43,24,33,17
FKBP8,2151,1781,2577,3837,3504,3634,3668,3345,2664
BZW1,7957,6135,9914,9961,5715,9561,9632,7789,7192
LRRC28,171,155,177,200,184,188,200,169,178
MADD,679,653,791,1220,1128,1323,1039,967,861
TEK,0,0,1,0,1,0,0,0,0
IRS2,0,0,0,0,1,0,0,0,0
BOP1,1054,857,1203,1815,1289,1916,2140,1934,1482
EXOC6B,362,413,414,863,760,743,531,412,366
C19orf18,10,21,18,25,24,29,13,12,10
CDHR5,0,0,0,0,0,0,0,0,0
INPP5B,431,350,592,503,415,555,496,416,382
GLT1D1,5,2,0,6,6,2,7,2,0
LINC01134,7,9,8,11,15,15,15,11,19
TACC2,262,240,279,1512,2152,1585,1730,1599,1265
SHOX2,129,116,159,197,140,168,171,152,145
MIR4689,0,1,0,0,4,2,0,0,3
EXOG,466,433,540,538,379,540,573,436,402
ZNF195,872,788,977,1271,1025,1291,1162,973,782
ERICH4,0,0,1,0,1,0,0,1,0
NDRG4,41,42,44,141,205,160,66,61,68
VRK2,696,548,730,830,466,750,775,621,558
CELF2,131,179,127,0,0,0,1,1,0
SEC11C,197,138,245,308,173,295,278,207,199
ARID3B,316,306,356,382,378,390,459,396,326
POF1B,23,18,11,3,0,2,2,0,3
TRIM14,397,447,487,507,527,561,851,657,583
ARHGEF17,507,522,555,906,902,901,782,621,524
ARHGEF11,2178,1900,2398,3189,2869,3382,2768,2358,2143
LOC102724450,109,91,124,215,141,256,260,262,200
AIFM3,1,0,0,3,0,1,1,0,0
IL24,0,0,1,3,2,0,0,1,0
SGCZ,0,0,3,0,0,0,1,0,0
DMTN,0,2,0,4,12,10,7,13,9
LENEP,9,6,4,24,19,14,14,3,6
ZNF398,765,709,887,649,501,723,1325,1124,965
PNISR,3164,2417,3315,4418,2917,4041,4354,3631,3275
ALPK3,5,5,3,59,97,60,12,10,8
ALKBH6,282,245,357,462,385,446,438,430,323
CTNND1,192,171,227,184,189,213,224,172,176
BCL2L13,1113,984,1332,1979,1460,1947,2194,1884,1624
DMD,3479,3377,3752,3597,2820,3076,3916,3215,2714
MUC4,3,0,2,4,1,0,2,3,3
FSCN2,6,3,16,22,29,12,7,14,5
EIF4G1,7703,6820,9291,12397,10510,12978,12762,11444,10251
PPP2R5E,768,818,766,944,1053,996,996,802,740
NAA16,663,563,786,1402,914,1337,870,711,664
GPS2,843,608,1022,1270,687,1174,1124,1009,798
THAP3,176,151,252,257,193,256,256,167,195
DLC1,1,2,1,1,0,0,0,0,0
CAMTA1-DT,13,11,16,22,16,16,21,11,12
SORBS1,11,11,8,32,18,30,45,21,15
STK31,0,0,2,1,1,0,0,2,2
CD160,11,5,3,62,26,67,73,48,50
ZNRD1,4,1,0,2,0,2,3,0,2
RHEBL1,55,48,68,91,70,65,92,58,34
RPL10,5449,4380,6776,7017,4859,7350,7740,6348,5512
ANK2,192,163,254,91,150,140,101,103,106
ROBO4,0,0,0,0,0,1,0,0,0
TSEN2,431,390,506,596,411,661,769,637,555
USP30,120,113,136,133,131,129,172,138,145
KDM6A,817,793,966,983,870,923,1026,813,765
PRH1,0,0,0,2,1,0,3,0,0
EVX1,0,0,0,0,0,0,0,1,0
SLC8A1,0,0,2,0,0,0,0,0,0
RCC1,1662,1370,1947,2677,1652,2777,3124,2607,2227
GMPR2,617,484,758,927,723,956,940,840,812
MMS22L,816,719,871,1223,972,1191,1137,950,891
SNX14,1348,1080,1571,2982,2142,2893,2313,1801,1714
STXBP6,5,8,12,81,66,69,286,280,239
TMCC1,279,324,340,524,526,543,488,387,384
TMEM94,421,431,428,688,1005,736,631,625,451
LINC01714,6,1,1,2,2,5,7,2,4
HNRNPUL2,487,401,399,706,582,761,674,553,507
MCC,195,197,274,422,372,403,354,269,268
GNB1,3486,2950,3825,5821,4753,5715,4921,4025,3847
SLC25A36,1311,1122,1409,2056,1505,1917,1888,1676,1472
RERE-AS1,0,1,2,1,0,2,1,4,0
SNORD128,6,4,4,4,5,5,4,2,3
ANGEL2,1094,832,1248,1696,1017,1649,1538,1158,1171
MIR6728,9,2,4,10,11,15,8,4,5
ENO1-AS1,13,14,16,25,18,29,36,23,19
TMEM51,79,68,89,152,120,142,137,96,79
GRAMD1A,424,412,510,701,793,701,752,669,533
HSPB11,733,542,831,957,444,750,775,577,581
IER5,444,287,432,725,383,687,657,545,501
DNAJC27,202,162,212,299,271,317,258,212,226
STK26,1288,992,1492,1846,1167,1639,1716,1453,1369
SIRT6,170,169,192,262,227,262,252,185,188
GPR83,1,6,2,1,1,3,4,1,2
MIR34AHG,1,0,5,31,13,20,16,18,7
UBE3D,87,78,104,87,83,91,121,103,76
LINC02606,11,15,15,9,10,18,16,10,9
PIK3CD-AS2,0,0,0,1,0,0,0,0,1
TEX264,504,415,574,826,668,916,990,846,744
LETMD1,512,467,735,949,689,1036,1049,804,856
GLRX,451,354,601,939,631,1096,964,801,852
CD2BP2,1766,1429,2244,2484,1634,2429,2224,1980,1848
CFL2,2611,2232,2887,1118,828,884,2466,1760,1583
IL15RA,30,46,53,242,157,233,206,151,165
CEP295NL,3,5,5,22,42,20,13,17,10
DPYS,1,0,0,0,1,1,0,0,0
PCM1,4905,4193,5997,6881,4933,6757,6325,5402,5176
MIR5697,1,0,1,0,0,2,1,0,3
ZCCHC8,762,633,980,1025,721,1027,950,807,793
INTS11,782,727,897,1127,1014,1096,1112,1069,822
POU4F3,0,3,0,0,1,3,1,0,0
GRIP1,109,101,132,95,52,116,1,0,0
JAKMIP3,140,138,173,210,200,214,144,140,140
SPRYD3,329,264,326,696,480,610,791,696,609
SRP19,857,601,1029,1201,669,1231,1201,947,954
FAM104A,630,489,730,972,680,927,936,796,688
OAS1,109,84,121,83,112,127,109,100,117
WDR4,383,411,456,643,635,724,730,671,599
MESP1,12,12,21,20,14,15,35,17,17
PLK5,0,0,1,0,0,0,0,0,0
CORO2B,4,7,18,47,33,39,8,5,7
SH3BP5L,324,287,454,466,463,563,555,529,418
MAPKAPK5,841,750,1071,1527,1081,1633,1669,1233,1221
RCHY1,992,777,1178,1046,707,991,1292,958,931
PIGQ,426,435,450,719,760,651,553,571,398
ESCO1,890,773,1023,794,602,771,788,671,587
CBLB,159,161,185,284,293,293,61,48,53
GPR63,359,393,475,565,451,617,559,487,462
CLPTM1L,736,383,609,797,411,793,762,609,590
EXOSC10-AS1,21,14,20,45,25,36,28,14,23
IQCE,579,530,709,1298,1072,1407,1096,969,856
FAM83A,0,0,0,1,0,0,1,0,0
SCN1B,35,16,18,69,38,31,22,17,9
MTOR-AS1,0,0,0,0,0,0,0,0,1
LBP,1,0,0,1,2,0,2,0,0
UBE3A,3368,2998,3757,4799,3526,4584,4666,3753,3559
LINC01647,0,0,0,1,1,2,0,1,1
ALDH3A2,2003,1579,2406,2688,1703,2479,2304,1995,1888
SMPD3,1,0,1,3,3,4,2,1,1
USP15,1354,1204,1582,1369,1013,1344,1267,1105,988
ZNF587,790,657,937,971,769,881,909,663,729
ADD3,568,422,581,1365,1079,1224,1625,1347,1157
FBXO44,623,518,703,1443,1100,1453,1086,941,805
CAD,2653,2925,3140,4074,4789,4893,3915,3931,3220
DGAT1,170,168,204,148,168,199,202,198,144
PUDP,148,144,183,227,173,206,304,307,222
HOXA5,56,39,59,102,76,71,92,98,71
METTL6,363,303,496,603,417,598,621,468,484
KYAT1,126,108,118,237,223,234,173,154,165
POMZP3,0,1,5,38,2,3,4,3,2
CYFIP2,664,674,783,545,575,596,498,391,360
CLCN6,173,151,179,375,399,352,226,181,180
NPPA-AS1,6,6,11,12,8,7,7,5,2
PPIP5K1,172,224,243,265,286,328,252,231,206
RNU5E-1,167,95,151,277,100,192,219,99,102
TAF1B,238,229,255,392,282,387,385,347,294
GLIS2,17,25,7,38,52,32,24,14,2
CTNS,217,203,277,342,257,384,370,293,289
CTH,36,22,35,35,25,31,33,15,30
FCER2,0,0,0,13,10,8,1,1,1
VPS8,685,639,743,769,626,725,851,662,640
GUCY1A1,81,81,110,517,302,590,430,327,342
SIPA1L1,764,813,802,1532,1541,1658,1728,1404,1276
ESRP2,1,1,0,1,0,1,1,2,1
CFAP70,12,15,13,45,28,37,16,18,19
CPEB1,79,80,146,194,131,144,162,148,88
SPHK2,235,187,269,277,240,298,290,226,209
MIR6730,7,6,7,6,14,11,9,4,7
IRF3,705,628,908,1278,1023,1381,945,870,789
BRWD1,3694,3263,4132,4717,3324,4693,4019,3220,2986
THAP8,35,26,35,48,51,54,43,26,39
TMEM91,43,43,66,53,43,68,50,43,41
MFSD11,186,169,257,352,236,329,420,323,283
AFF2,5,2,2,2,1,5,0,0,0
SS18L1,510,479,550,723,708,779,775,667,565
NFKB2,567,512,646,602,594,643,685,596,539
MAGEA4,0,0,0,2,1,0,1,2,2
POLD2,1376,1230,1684,2592,2061,2577,2546,2133,1859
ZNF562,1326,1141,1721,1698,1138,1686,1591,1180,1223
MTHFD1L,1426,1291,1743,2020,1781,2295,1813,1471,1414
GLMN,777,696,967,823,520,821,831,705,666
C15orf40,366,238,425,579,314,658,588,456,409
CYB5D1,603,516,762,909,633,990,1006,938,927
DENND3,69,56,76,136,125,120,79,70,62
ZNF628,102,59,103,115,89,83,132,109,91
RRP36,1458,1092,1637,2173,1358,2026,2100,1568,1501
PTPRR,0,0,0,0,2,4,0,0,0
TMEM51-AS1,18,20,18,42,81,53,25,23,28
MTMR9,781,656,970,1159,792,1107,1033,739,793
FXYD6,15,23,24,24,18,27,25,16,17
C1orf195,0,0,0,0,0,1,0,1,0
SLC5A11,1,3,2,2,4,4,5,4,2
PRMT7,928,788,1120,1377,1024,1479,1444,1190,1022
HSPA12A,163,160,180,175,161,156,82,111,97
RIMS2,523,604,539,1060,1093,981,909,837,677
DNAJC16,572,550,652,976,828,939,846,690,717
SCARNA21B,3,2,5,3,3,6,1,0,3
CBFB,3067,2355,3539,5821,3326,5519,4931,4255,3887
ZNF532,0,0,0,1,0,4,0,1,0
ZNF333,82,63,90,118,88,135,105,94,96
FLJ37453,62,54,86,104,89,130,107,101,86
ZEB1,493,422,497,550,369,481,582,551,501
KLRD1,1,1,0,1,0,1,0,1,1
DTNA,0,0,0,0,0,0,0,0,0
ABLIM1,1251,1140,1408,2081,1909,2328,2155,2009,1819
PAN3,382,410,376,540,542,492,463,376,381
IP6K2,1463,1100,1731,1905,1250,1887,1831,1466,1296
ZNF200,369,314,429,589,431,632,524,437,443
FCMR,0,0,2,1,1,0,0,0,2
MYO19,78,8,29,17,19,21,22,12,95
ATP6V0A1,801,867,963,988,1054,1064,1133,1060,954
PACC1,327,302,454,566,359,558,482,392,376
TPTE2,1,3,0,0,3,1,0,0,2
RCN2,1940,1434,2001,3464,1967,3111,2399,1942,1776
SOX6,3,4,7,8,12,8,7,6,10
SMDT1,0,0,0,1,0,0,0,0,0
CHURC1,615,473,799,900,578,940,765,602,573
C22orf23,9,2,15,23,15,29,20,16,13
ASH1L,2971,3217,3164,3968,4071,4047,3794,3354,2854
ZNF561,606,520,691,851,627,817,911,722,683
C1orf158,0,1,1,0,0,0,0,0,0
PKIB,6,12,17,117,73,102,43,34,48
SREK1,2030,1513,2151,2837,1543,2527,2513,1911,1770
PET100,527,359,615,697,318,579,745,625,586
SPATA21,1,0,2,1,2,1,2,0,3
TAFA4,2,0,2,6,2,5,0,0,1
ZSWIM2,66,57,68,79,59,74,76,75,59
ZNF454,0,0,2,2,0,2,0,0,0
NECAP2,366,259,407,596,438,532,439,372,350
LINC01772,4,9,15,15,15,11,10,11,9
CROCCP3,177,170,249,299,353,318,207,176,192
LINC01783,77,69,104,91,50,87,94,53,60
MIR3675,2,1,3,3,3,4,3,3,1
ADAMTS4,3,6,3,16,22,14,4,7,2
IMPA1,564,440,621,664,437,565,723,585,515
IFI27,0,1,1,0,0,0,0,0,0
CROCCP2,279,249,389,415,365,446,462,434,337
MST1P2,28,26,29,56,53,40,42,47,44
LOC105376805,0,2,2,1,0,0,0,0,0
DOCK5,510,605,627,531,555,511,360,318,297
STX7,703,609,828,1006,593,877,694,550,526
ZDHHC21,1365,1168,1432,1633,1237,1571,1256,1024,946
TJP1,186,206,119,131,176,114,227,240,147
SNORD73B,21,15,17,42,11,29,33,28,20
GOLGA8T,0,0,0,0,1,0,0,1,1
RPS18,8,3134,6899,15,7442,7595,5982,8,6766
CDKN2A,80,81,110,186,123,156,233,213,172
KCNJ12,35,29,42,9,5,11,34,18,16
PRPF31,11,8,7,11,6,4,4,8,5
CYP20A1,774,654,1056,930,483,931,906,624,723
ABCF1,2,0,1,2,1,0,0,32,1
CLTB,813,640,938,1785,1301,1658,1922,1850,1568
KDM4B,165,151,181,338,462,357,273,266,229
ASB13,694,617,914,1160,889,1259,1373,1093,1022
ARHGEF10L,147,154,204,251,331,299,221,193,171
FAM168B,4585,3998,5527,5817,4238,5656,5055,4606,3858
ODR4,938,825,1217,1284,800,1104,1224,976,947
SLC48A1,590,521,793,650,502,600,444,387,363
SPDEF,1,0,2,6,7,4,1,0,1
PRXL2B,3,2,35,7,2,3,73,5,2
FUZ,25,19,21,18,22,22,20,14,14
LARP4,1693,1619,2101,2444,1933,2711,2571,2250,2067
USP19,1133,926,1306,1634,1357,1713,1536,1420,1173
EMC1-AS1,18,18,23,20,14,28,16,15,18
CD79B,0,0,1,2,2,0,0,0,3
TGFBRAP1,868,849,1076,817,689,745,771,659,601
SNRPE,2604,1914,3089,3880,1878,3617,3960,3131,2918
TNR,0,0,0,1,0,0,0,0,1
SYT17,1,0,0,2,0,1,0,0,0
HMBOX1,167,247,197,273,447,347,246,236,191
AKR7L,39,52,59,107,79,70,97,64,40
GPM6A,4,5,4,6564,4003,6033,4278,3464,3051
PEX5L,0,0,1,0,0,3,0,0,0
LOC100506730,73,59,70,156,136,144,110,98,93
HERC4,587,544,717,870,737,973,877,674,711
GOLGA8R,0,2,0,1,0,0,0,2,0
ACBD5,805,648,982,1208,870,1073,1232,984,883
VAMP7,3,2,2,172,2,86,209,59,4
GPANK1,2,0,1,0,0,0,1,1,1
DMAC2,425,379,480,627,451,594,531,493,394
LOC105378614,0,0,0,0,0,1,1,1,1
MICOS10,401,271,395,714,403,790,770,626,542
LINC00339,116,104,211,308,241,321,296,251,214
NOL11,2007,1578,2363,3019,1833,2937,3287,2620,2395
RPS14P3,20,21,29,37,25,40,31,31,21
ZNF33A,1176,993,1484,1996,1529,1945,1964,1433,1497
RPL28,4586,3365,4591,7186,5083,7100,6989,6220,5160
TIMM10,509,387,636,854,549,910,854,759,678
CD36,331,229,262,1499,1173,1396,1223,1218,936
MARCHF1,0,1,0,0,0,2,0,2,0
NPLOC4,2190,1914,2428,3548,3296,3631,3590,3279,2761
PHACTR4,795,783,794,1248,1153,1069,1086,880,860
TMCO4,113,91,142,192,177,200,203,152,148
RPL3,11028,8792,13223,16696,13527,17784,17055,14018,12809
ZNF414,90,65,98,126,116,127,142,135,116
PAAF1,271,224,312,392,349,417,442,330,334
ZC3H14,1761,1463,2037,2214,1622,2134,2184,1957,1663
ZBTB8OS,583,451,693,865,464,733,828,659,612
GRB7,206,166,204,311,339,264,251,186,154
LINC01141,0,0,0,0,0,0,0,0,1
PINK1-AS,297,235,372,428,269,375,405,318,305
PHB,2455,1951,3119,4008,2564,4027,3827,3436,2987
PGM1,766,629,863,1736,1389,1628,1613,1401,1248
TMEM259,1213,1211,1337,1567,1401,1404,1509,1506,1053
RHNO1,751,558,925,1020,709,938,1116,894,842
GTF2H2,18,6,14,15,17,28,27,21,24
HLA-DOB,0,0,0,0,0,1,0,1,0
C1orf43,2074,1811,2702,3952,2611,3954,4013,3368,3121
ATP7B,91,94,101,251,260,302,174,179,142
CERS3,0,2,0,0,1,1,0,0,1
ZMAT5,155,136,203,155,127,167,218,189,182
NIFK-AS1,119,87,131,99,76,102,98,73,85
ABHD16A,0,0,0,0,0,1,0,0,0
MIR1256,0,1,2,2,3,2,4,2,2
ASCC1,412,348,479,604,503,617,620,492,458
ANXA8,1,3,1,1,3,3,0,3,0
ODF2L,754,655,785,1085,876,955,934,718,668
OSBPL2,296,241,411,719,549,645,561,512,453
CHODL,1,1,2,6,4,13,2,11,5
KCTD10,743,720,923,1113,946,1034,1292,1100,1034
POGLUT1,343,265,434,470,292,449,502,447,379
ORC6,1318,986,1531,2068,1059,1842,2165,1662,1483
GNMT,1,1,0,1,0,2,0,0,0
BBS9,179,141,218,195,200,184,164,117,133
PRRT3,307,291,383,512,472,556,483,385,342
FBXO21,971,810,1152,1224,966,1200,1370,1091,958
CSF2RA,0,0,0,0,0,0,0,0,0
COBLL1,266,239,250,422,346,471,252,184,159
FILIP1L,6,1,7,5,1,0,11,6,5
ENTPD1,1,6,0,2,0,1,4,1,1
DDR1,37,65,65,86,102,91,98,73,78
ANKRD30B,2,1,1,2,3,1,9,5,9
SUCLG2,1173,1099,1434,1981,1451,1876,1930,1427,1282
ACHE,11,18,14,5,5,11,8,8,10
DDO,1,4,8,12,13,9,10,8,7
FCGR2A,6,9,4,2,5,9,7,4,6
TAF15,5,66,134,72,97,10,10,5,73
ZNF174,276,229,348,402,340,482,388,360,323
NHEJ1,551,517,707,605,402,589,614,485,438
PIP4K2C,533,506,618,746,747,791,746,618,562
PEAK1,376,465,418,684,872,636,575,542,462
EPS8L1,35,23,46,65,33,40,162,140,157
EFCC1,0,3,2,0,0,0,0,0,0
ZNF552,234,183,323,257,206,277,260,213,234
AGMAT,2,1,1,1,0,0,1,0,2
EHMT1,1627,1487,1894,2955,2655,3003,2224,1782,1637
MMRN2,786,857,1087,1424,1578,1608,1600,1540,1267
VASH2,132,134,117,315,363,306,199,148,156
LINC01635,7,5,5,14,10,10,11,14,7
BCAP29,29,33,33,45,28,21,33,24,25
SENP1,876,773,981,657,644,702,692,602,540
SUN1,2110,1800,2290,4428,3725,4215,3377,2807,2421
KMT5A,835,628,859,1586,1004,1425,1485,1129,1032
ZBTB40,813,849,999,1279,1222,1391,1191,1159,896
IGSF11,2,0,1,12,5,4,1,0,2
TUBB,513,422,586,698,450,625,723,587,489
CALCOCO1,148,119,190,165,131,154,168,143,140
FLRT3,2,0,1,1,1,2,0,0,0
HCN3,0,1,3,1,27,3,5,7,3
MARCHF6,1837,1918,1858,2447,2652,2687,2789,2466,2204
BASP1,77,71,82,16,10,10,1,0,0
PCGF3,808,691,955,1116,811,1142,1020,815,748
CNKSR1,13,14,8,22,10,26,20,9,13
GCK,0,0,0,2,0,0,0,0,0
LPGAT1,2407,1951,2763,3682,2392,3391,3279,2625,2433
RNF10,1164,1006,1501,1616,1477,1678,1490,1230,1248
KBTBD11,6,5,8,5,6,5,10,8,6
SEC16A,1644,1960,1838,2252,3074,2375,2168,2110,1734
MIR3115,0,2,0,0,4,6,0,4,3
IKBKB,370,363,430,683,561,672,636,518,446
PSME3,2051,1911,2229,3082,2559,2917,3276,2813,2459
FIGNL1,1596,1293,1875,2102,1461,1891,2190,1605,1507
CIB2,207,195,223,316,299,313,347,300,257
AAGAB,1155,963,1431,1868,1094,1856,1838,1324,1326
ASAP1,1018,1180,1042,1159,1252,1185,1025,975,749
WDR83OS,754,601,996,1328,829,1382,1499,1285,1197
ZNF436-AS1,72,56,106,67,87,79,77,72,90
GPSM1,830,737,999,1205,1043,1317,1439,1362,1090
PACSIN2,792,637,885,1604,1259,1587,1361,1096,996
NCLN,1301,1161,1620,1940,1539,1922,2068,1859,1508
LOC101928163,0,1,2,1,0,0,0,0,1
COA7,1056,834,1185,1720,1006,1652,1754,1355,1300
ACSL4,808,604,954,1355,903,1197,1040,851,818
TRPC7,0,0,0,0,0,0,0,0,0
ELOA-AS1,38,27,44,43,44,52,57,50,45
GSN,1210,1030,1312,1295,1290,1281,1600,1230,1107
SRRM1,1728,1810,1752,2453,2897,2424,2374,2040,1647
RAPGEF2,740,653,780,1007,920,914,980,761,732
ST7,179,142,203,257,205,274,228,192,164
SEPTIN9,2229,2163,2724,4552,4274,4597,5014,4984,4186
RRAS2,618,473,767,1168,610,999,908,692,611
GAMT,640,610,738,1405,1312,1402,1454,1344,1062
C8orf76,105,64,113,137,76,145,175,146,114
RTL9,0,1,0,1,3,2,3,4,3
PPP1R15B,3202,2637,3829,5213,3617,5139,4957,4274,3953
FAM222A,52,49,45,97,63,68,97,77,79
A2ML1,0,0,2,2,0,0,0,0,0
DGKB,12,10,11,22,17,22,132,96,118
ATXN2L,1160,1374,1085,1496,2352,1577,1415,1374,1117
SIN3A,946,1010,953,1408,1375,1243,1099,974,849
SIRT3,246,239,315,445,358,470,451,348,391
KDM4C,749,647,783,1405,1256,1483,1374,1140,988
STPG1,101,80,131,165,134,163,152,139,137
COX18,482,395,540,881,562,767,952,785,743
CCL20,0,0,0,0,0,0,0,0,0
NIPAL3,363,310,460,704,592,715,802,612,570
CRACR2A,2,3,0,2,0,0,1,4,0
ABCC6,14,2,4,68,61,74,57,48,57
RCAN3AS,3,2,1,8,4,1,8,2,4
CCDC168,6,9,10,6,5,5,2,5,3
