,N4_2,N4_3,N4_4,N7_2,N7_3,N7_4,N9_2,N9_3,N9_4
SATB1,12,11,5,0,0,0,1,0,0
PLCE1-AS1,0,0,0,4,0,3,0,0,0
POLD3,1137,1004,1354,1663,1074,1439,1573,1259,1116
MTF1,450,481,492,701,708,785,670,579,528
TMEM104,81,108,138,210,186,215,168,151,178
KCNN3,2,2,1,0,3,4,3,2,0
PSMA4,4323,3161,5115,6675,3880,6352,6353,4998,4709
DNAAF2,397,331,501,578,380,627,670,524,474
CISH,63,78,78,72,61,69,55,68,58
TLCD3B,9,3,15,13,10,18,13,20,9
AMD1,2995,2383,3725,4919,2832,4759,5414,4216,3851
AK6,101,60,143,246,73,4,284,194,246
AMPD3,1,6,11,5,11,6,18,7,10
TMEM98,1,5,0,0,0,0,0,1,0
SRGAP3,69,99,72,95,156,101,84,75,72
TCN2,0,2,1,1,1,2,0,1,2
IRAK4,171,135,189,180,136,189,158,118,126
SPN,0,0,1,0,1,1,1,1,4
TM6SF1,0,1,1,0,0,0,0,0,3
PSMB2,2946,2579,3210,5270,3901,4645,4863,4002,3763
TLE3,249,209,254,106,136,111,738,647,550
FLT4,140,116,152,173,156,166,147,103,97
DDX1,2283,2070,2690,3524,2504,3442,3307,2854,2600
ARHGAP21,708,668,830,1656,1207,1428,1213,1003,893
CHMP1A,1267,1048,1487,2369,2015,2239,2175,1799,1457
ENTPD1-AS1,64,55,82,69,33,73,93,67,54
FDPS,1639,1347,2284,3114,2326,3357,2533,1999,1934
C2orf27A,100,92,134,152,104,141,129,135,112
PDP1,249,238,336,680,422,587,394,307,297
PECR,445,357,561,438,325,377,401,348,331
VPS53,665,645,743,1235,1122,1250,1098,964,878
MAGI3,231,210,263,406,383,378,442,332,329
FAM107B,157,168,219,424,213,291,412,303,258
CC2D2B,7,9,8,7,6,6,3,5,8
AMOTL1,831,768,880,431,477,541,485,511,483
IBTK,1646,1452,1832,2910,2187,2525,2597,2018,1991
SLC35F4,0,0,0,0,1,0,0,0,0
HOOK2,165,151,156,374,385,397,325,264,244
ZNF518A,830,691,937,1075,797,992,1102,802,808
SHISA5,1543,1299,1954,2786,2191,2600,3413,3023,2670
OTOG,1,0,1,0,0,0,0,0,0
ADGRL3,0,0,0,5,4,8,10,7,12
PARP9,396,401,486,779,661,672,737,613,567
RGS5,119,96,134,195,190,189,148,160,141
PTGS1,2,0,2,3,1,2,1,1,0
TMEM45A,22,12,11,161,148,153,144,113,122
RPL13AP5,967,720,1103,1224,756,905,1281,1440,1148
LOC102723665,24,12,23,37,32,33,27,29,34
DSN1,839,610,934,1159,724,1079,1247,932,912
SLC37A4,816,711,851,1367,1359,1407,1497,1411,1186
TTC33,252,223,324,346,304,393,307,293,281
ADRA2A,1,0,1,0,1,0,0,0,0
ADRA1B,2,1,0,0,0,1,0,1,1
MPP3,326,288,326,544,381,507,400,352,292
TAC3,0,1,0,0,0,0,0,0,0
LDOC1,173,156,147,189,221,157,176,173,165
STT3A,1535,1186,1703,2590,1719,2378,2266,1867,1722
NEK3,174,144,200,338,286,326,331,295,290
CCT3,12655,9954,15702,21237,13484,20894,13126,10835,9852
SERPINE2,39,35,47,71,36,32,310,199,210
XRN1,1253,1180,1396,1818,1425,1734,1847,1510,1438
KCTD17,258,209,309,401,320,458,477,401,346
NR1D2,218,188,236,531,343,521,436,295,282
NFE2L2,1440,1365,1593,1255,1107,1131,1016,814,749
ZFP69,1,3,0,2,2,3,3,0,3
PPCDC,244,235,345,449,393,427,406,393,332
DOLPP1,405,301,513,509,379,459,575,439,413
RIT1,681,480,708,971,696,871,997,773,748
AIPL1,1,1,2,0,0,2,0,0,0
TMEM265,20,29,22,27,36,25,21,20,19
THOC7,698,540,884,1350,779,1187,1143,985,971
CCDC51,366,249,461,641,487,634,666,535,480
ZBTB7C,1,0,1,1,0,0,0,0,0
DHRS2,16,8,26,120,57,135,81,44,72
PHF23,783,666,982,1119,758,1113,1073,964,910
MAPK10,5,3,4,28,29,58,25,20,27
NPR3,16,9,20,7,5,8,3,0,3
BCKDHA,345,283,432,390,375,432,479,457,435
MORN4,76,73,125,95,100,119,91,71,86
MYO18B,0,0,0,1,0,0,0,0,1
ABCA5,135,166,167,153,208,211,250,191,230
RAD51,418,293,445,724,453,634,571,417,433
MBNL3,775,751,839,499,437,411,784,650,553
PTRH2,745,685,1017,574,386,599,627,476,475
MGAT5,1016,1090,1253,1075,866,1130,837,728,624
ZC3H8,483,390,639,537,336,488,459,367,356
ITPRIPL1,933,782,1270,910,544,938,1006,842,779
FAHD2B,242,216,283,259,226,289,301,231,233
GPS1,1581,1395,1811,2304,1760,2417,2407,2168,1766
TSHZ2,62,66,75,4,5,13,0,1,0
MCM7,5052,4220,6064,6386,4700,6331,7042,6240,5386
KIFC3,186,109,167,838,543,627,917,794,719
ANAPC7,1179,1054,1469,2330,1511,2410,1929,1467,1368
PRICKLE2,6,11,5,12,21,23,10,11,6
TPCN1,113,114,145,316,344,353,261,240,219
WDR20,497,399,576,481,406,481,606,506,508
L3MBTL2-AS1,0,1,3,1,2,2,1,0,1
NCALD,1,0,3,2,6,1,20,17,24
EGFL8,1,0,0,1,0,0,0,0,0
ZHX1,751,614,950,1157,715,1084,1628,1262,1223
MIR4685,0,2,2,1,1,1,1,0,3
SLC2A14,0,0,0,0,0,0,0,0,1
CNNM1,418,524,492,555,586,565,536,524,406
SHH,0,0,0,1,2,0,9,8,10
CCDC126,105,75,105,132,87,132,141,119,103
HSD11B1L,25,16,29,74,72,95,34,35,49
PLAAT2,0,0,0,0,1,0,0,0,0
ANO2,1,2,1,0,0,0,0,0,0
NAA35,1332,1109,1557,1978,1421,1887,1646,1369,1235
SNRPA1,789,635,823,1323,903,1184,1618,1331,1105
ZNF843,9,8,8,5,9,9,10,2,2
KLF8,0,0,0,0,0,1,0,0,1
GLCE,360,298,429,575,419,560,584,501,446
ALG2,601,455,762,934,534,927,826,717,627
DLGAP2,0,0,0,0,0,0,0,0,0
EFNB1,167,114,163,194,118,164,329,287,216
PHC2,557,482,663,971,766,961,1000,859,744
VIPAS39,275,194,380,369,301,382,373,286,309
QSOX1,870,855,1188,1660,1594,1892,1520,1429,1212
SNORA12,223,129,307,316,154,453,298,206,215
OXSR1,1291,1089,1484,1761,1449,1727,1598,1335,1212
CLSTN2,1,1,2,6,3,0,1,0,0
OLMALINC,18,14,19,43,56,62,37,25,48
ADGRB2,111,123,115,83,117,112,128,120,76
C19orf54,54,63,54,95,147,93,84,75,49
DIO3,8,8,10,0,0,0,0,0,0
SRP72,3507,2858,4093,5743,3959,5629,6065,4942,4441
RAB11A,2516,1995,2967,3550,2425,3318,3356,2623,2391
DNAH9,1,0,0,0,0,1,0,0,0
CDC23,1159,891,1458,1800,1179,1692,1801,1532,1356
GAB2,129,109,168,220,244,223,194,175,185
DAP,255,294,267,549,736,590,354,309,296
ABCG1,5,5,6,101,116,87,3,3,7
COL4A2,3,0,3,0,0,0,1,0,0
HOXC5,28,39,20,17,42,23,22,14,17
TLX1NB,7,4,6,6,15,12,8,7,6
GNPDA1,624,442,700,1610,1288,1700,2043,1935,1641
ACOT8,96,93,135,220,180,254,251,218,188
AKT3,7,36,10,0,0,0,0,0,0
ADAM7,1,0,0,0,1,0,0,1,0
DHX58,81,74,130,133,179,179,146,120,111
WAC,2038,1745,2465,2743,2007,2540,2737,2366,2069
LATS1,821,863,930,1143,1040,1124,1074,926,931
NTRK2,4,1,0,1,3,4,0,0,0
MIR3158-1,0,0,0,0,0,0,0,0,0
TRA2A,1260,991,1384,1847,1321,1749,1770,1334,1330
PTTG1,1619,1096,1859,2742,1488,2601,2662,2041,1980
SGIP1,0,0,0,1,0,1,0,0,0
KCNIP2-AS1,7,7,13,8,7,5,9,11,8
GFER,487,399,638,807,573,822,700,606,526
GEM,106,93,157,230,145,196,144,147,115
GGT1,143,131,159,228,352,308,260,227,206
CUX2,0,0,0,0,1,1,0,0,0
INIP,766,632,952,1237,681,1116,1161,927,923
CMTR2,1630,1249,2041,2339,1420,2401,2514,2052,1945
PARP1,4105,3310,4673,6171,4576,5804,6660,5807,4931
CCL22,0,0,1,0,0,0,0,0,0
FSCN1,111,116,156,410,331,245,1121,864,657
KIF26B,2,2,0,1,0,0,0,0,0
HERC6,368,293,419,486,349,458,510,342,410
FAM118A,418,388,553,817,645,857,816,712,604
ARGLU1,966,753,1071,1409,778,1147,1236,1053,904
TRMT61B,206,191,268,317,222,354,352,295,275
PCDHGA12,11,12,18,20,23,20,20,9,13
SSNA1,477,360,583,931,556,861,977,830,756
OIP5,362,237,440,541,297,500,500,427,398
EXOC3,422,347,494,718,603,774,657,569,501
CTRC,0,0,3,0,1,2,0,0,0
STXBP3,637,487,694,819,523,776,770,625,586
TMC6,84,78,67,274,261,276,187,181,131
PC,47,37,51,68,92,89,92,90,58
OXSM,252,236,387,416,303,494,548,431,471
CCDC174,371,261,416,510,315,455,389,355,286
PAK1IP1,689,481,781,827,428,819,1107,912,850
ORMDL1,1416,1061,1640,1320,739,1112,1296,1080,1001
BRD1,884,844,1063,1264,1022,1327,1237,1042,898
VCPKMT,331,232,356,457,250,418,425,306,308
RPARP-AS1,277,198,308,325,274,429,445,379,352
FAM217B,546,499,629,838,575,735,817,660,626
PTN,0,0,0,0,0,0,0,0,0
OLFM2,76,104,92,35,45,30,17,26,14
BORCS7-ASMT,0,0,0,0,0,0,0,0,0
SMG7,657,949,602,904,1351,895,860,787,630
KCNH1,2,2,4,3,0,2,0,0,0
SFT2D3,409,303,464,404,247,359,435,356,343
LMNB2,4873,4044,6036,6571,4410,6214,6125,5321,4357
TXNDC17,1100,796,1330,2112,1173,2076,1925,1671,1477
RTN4IP1,256,228,323,501,358,528,499,412,383
INA,625,480,636,1501,886,1296,1052,805,830
PLCD4,205,193,237,395,379,362,257,186,202
GSTK1,567,502,739,512,411,520,944,809,689
CCDC117,947,772,1199,1593,1083,1543,1464,1176,1205
BCAS3,406,347,427,1392,1393,1530,2061,1734,1618
NFXL1,603,632,649,1324,1086,1372,1407,1224,973
SARAF,1687,1344,2136,2518,1515,2246,2005,1606,1515
RAB42,0,0,1,0,0,1,0,0,0
PLB1,1,3,2,3,14,11,3,1,1
CFAP57,7,5,7,5,4,5,6,5,5
SLC26A6,594,503,564,1187,987,1235,949,901,657
TARBP2,358,263,420,612,388,589,532,452,418
ALPG,0,0,1,1,0,1,0,0,0
HNRNPK,11586,9203,13001,17690,11014,16010,16422,13749,12680
TJP2,273,241,340,927,671,858,983,801,719
DCAF5,760,750,931,1144,1280,1202,1230,982,941
FUT11,249,242,365,455,435,456,407,357,337
ROPN1L,11,5,13,21,14,9,9,0,3
BTBD7,22,5,3,38,9,36,6,3,8
PPP4R3A,1907,1641,2260,2596,1845,2505,2540,2037,2014
ARRDC3,2480,2011,3156,3308,2249,2763,2017,1492,1458
DOK2,0,0,0,1,1,0,1,0,0
EFL1,535,456,606,792,533,780,628,504,546
TOMM70,1665,1253,2004,2408,1603,2324,2829,2340,2166
L2HGDH,504,458,457,816,752,783,827,583,612
CNTD2,0,2,0,1,0,1,1,1,1
TADA2A,121,80,110,238,42,92,79,87,65
PORCN,83,69,91,104,113,133,143,119,126
ZNF500,263,231,338,441,343,436,386,324,352
