"gene","bicor","XIST_group","sample_type"
"GAB1",-0.640203892742335,"High XIST","Normal Tissue"
"GAB1",-0.409089353520391,"Low XIST","Normal Tissue"
"GIT1",-0.112793544967463,"High XIST","Normal Tissue"
"GIT1",0.0355366162217878,"Low XIST","Normal Tissue"
"GIT2",-0.0673201603847095,"High XIST","Normal Tissue"
"GIT2",0.363164822851006,"Low XIST","Normal Tissue"
"GNA12",-0.343471812144739,"High XIST","Normal Tissue"
"GNA12",-0.169297417482,"Low XIST","Normal Tissue"
"GRB2",-0.235172748283026,"High XIST","Normal Tissue"
"GRB2",0.479289173284084,"Low XIST","Normal Tissue"
"GRB7",0.287718261733928,"High XIST","Normal Tissue"
"GRB7",-0.277068036649687,"Low XIST","Normal Tissue"
"HAX1",0.0539580689305478,"High XIST","Normal Tissue"
"HAX1",-0.168803092687904,"Low XIST","Normal Tissue"
"HEG1",-0.138013337315184,"High XIST","Normal Tissue"
"HEG1",-0.634780281273941,"Low XIST","Normal Tissue"
"HRAS",0.0813715553993137,"High XIST","Normal Tissue"
"HRAS",-0.219669247864316,"Low XIST","Normal Tissue"
"HSPA2",-0.253349210748693,"High XIST","Normal Tissue"
"HSPA2",-0.265574105670499,"Low XIST","Normal Tissue"
"HSPB1",-0.377360092739819,"High XIST","Normal Tissue"
"HSPB1",-0.50838627504489,"Low XIST","Normal Tissue"
"ILK",-0.629666838252536,"High XIST","Normal Tissue"
"ILK",-0.120560765460407,"Low XIST","Normal Tissue"
"ILKAP",-0.172121816396106,"High XIST","Normal Tissue"
"ILKAP",-0.0800005498782795,"Low XIST","Normal Tissue"
"INPP5D",-0.273232715852277,"High XIST","Normal Tissue"
"INPP5D",0.343415497526448,"Low XIST","Normal Tissue"
"INPPL1",-0.26528231917695,"High XIST","Normal Tissue"
"INPPL1",-0.0440983017517499,"Low XIST","Normal Tissue"
"INSR",-0.217268040925618,"High XIST","Normal Tissue"
"INSR",-0.48913339660942,"Low XIST","Normal Tissue"
"IQGAP1",-0.320992334613873,"High XIST","Normal Tissue"
"IQGAP1",0.114479375579657,"Low XIST","Normal Tissue"
"IRS1",0.0553315914296233,"High XIST","Normal Tissue"
"IRS1",-0.481862732559169,"Low XIST","Normal Tissue"
"ITGA1",-0.498092550922855,"High XIST","Normal Tissue"
"ITGA1",-0.7128938244539,"Low XIST","Normal Tissue"
"ITGA10",-0.211424289992817,"High XIST","Normal Tissue"
"ITGA10",-0.405680298307664,"Low XIST","Normal Tissue"
"ITGA11",-0.546103864635235,"High XIST","Normal Tissue"
"ITGA11",-0.679463604752442,"Low XIST","Normal Tissue"
"ITGA2",0.0567834649264533,"High XIST","Normal Tissue"
"ITGA2",-0.437789675568207,"Low XIST","Normal Tissue"
"ITGA3",-0.15200619672805,"High XIST","Normal Tissue"
"ITGA3",-0.466920527882594,"Low XIST","Normal Tissue"
"ITGA4",-0.0619344250997581,"High XIST","Normal Tissue"
"ITGA4",0.254137184673488,"Low XIST","Normal Tissue"
"ITGA5",-0.40169701237784,"High XIST","Normal Tissue"
"ITGA5",-0.222040624167592,"Low XIST","Normal Tissue"
"ITGA6",-0.224482762139106,"High XIST","Normal Tissue"
"ITGA6",-0.448105859354372,"Low XIST","Normal Tissue"
"ITGA7",-0.604385834009354,"High XIST","Normal Tissue"
"ITGA7",-0.461297057109357,"Low XIST","Normal Tissue"
"ITGA8",-0.524358219977189,"High XIST","Normal Tissue"
"ITGA8",-0.503396713784716,"Low XIST","Normal Tissue"
"ITGA9",-0.404246952876531,"High XIST","Normal Tissue"
"ITGA9",-0.565326858310422,"Low XIST","Normal Tissue"
"ITGAD",-0.217413861252788,"High XIST","Normal Tissue"
"ITGAD",0.248384564980997,"Low XIST","Normal Tissue"
"ITGAE",-0.0304761889048466,"High XIST","Normal Tissue"
"ITGAE",-0.0633294137392274,"Low XIST","Normal Tissue"
"ITGAL",-0.159286227866828,"High XIST","Normal Tissue"
"ITGAL",0.317210981325818,"Low XIST","Normal Tissue"
"ITGAM",-0.312977142737975,"High XIST","Normal Tissue"
"ITGAM",0.290288576024554,"Low XIST","Normal Tissue"
"ITGAV",-0.410494970343759,"High XIST","Normal Tissue"
"ITGAV",-0.441105391025481,"Low XIST","Normal Tissue"
"ITGAX",-0.291166703489547,"High XIST","Normal Tissue"
"ITGAX",0.386234438097164,"Low XIST","Normal Tissue"
"ITGB1",-0.375123478908403,"High XIST","Normal Tissue"
"ITGB1",-0.530852785796655,"Low XIST","Normal Tissue"
"ITGB1BP1",-0.441596633823845,"High XIST","Normal Tissue"
"ITGB1BP1",-0.19413337139464,"Low XIST","Normal Tissue"
"ITGB2",-0.236819991334909,"High XIST","Normal Tissue"
"ITGB2",0.304366672821721,"Low XIST","Normal Tissue"
"ITGB3",-0.276416004104707,"High XIST","Normal Tissue"
"ITGB3",-0.161577088106528,"Low XIST","Normal Tissue"
"ITGB3BP",0.0477200109524214,"High XIST","Normal Tissue"
"ITGB3BP",-0.233131108872382,"Low XIST","Normal Tissue"
"ITGB4",-0.179866142018475,"High XIST","Normal Tissue"
"ITGB4",-0.372722384091852,"Low XIST","Normal Tissue"
"ITGB5",-0.484982514386714,"High XIST","Normal Tissue"
"ITGB5",-0.664483044597793,"Low XIST","Normal Tissue"
"ITGB6",0.288966405648669,"High XIST","Normal Tissue"
"ITGB6",-0.417551525018497,"Low XIST","Normal Tissue"
"ITGB7",-0.017324964590285,"High XIST","Normal Tissue"
"ITGB7",0.325658011493517,"Low XIST","Normal Tissue"
"ITGB8",-0.223581584401959,"High XIST","Normal Tissue"
"ITGB8",-0.252134714533805,"Low XIST","Normal Tissue"
"JUP",0.0758068940206319,"High XIST","Normal Tissue"
"JUP",-0.519382928556683,"Low XIST","Normal Tissue"
"KCNH2",-0.151391364221997,"High XIST","Normal Tissue"
"KCNH2",-0.0306197705901101,"Low XIST","Normal Tissue"
"KEAP1",0.186609394492878,"High XIST","Normal Tissue"
"KEAP1",-0.136693426220846,"Low XIST","Normal Tissue"
"KRIT1",0.0354531395050636,"High XIST","Normal Tissue"
"KRIT1",-0.252354848922944,"Low XIST","Normal Tissue"
"KTN1",-0.183462384887959,"High XIST","Normal Tissue"
"KTN1",-0.365458350014535,"Low XIST","Normal Tissue"
"LASP1",-0.238095019711199,"High XIST","Normal Tissue"
"LASP1",0.341011220723453,"Low XIST","Normal Tissue"
"LAYN",-0.224556328872044,"High XIST","Normal Tissue"
"LAYN",-0.439082166046193,"Low XIST","Normal Tissue"
"LDB3",-0.577164147312085,"High XIST","Normal Tissue"
"LDB3",-0.504418016385786,"Low XIST","Normal Tissue"
"LIMA1",-0.424457082849567,"High XIST","Normal Tissue"
"LIMA1",-0.539486235232711,"Low XIST","Normal Tissue"
"LIMK1",0.333834472499788,"High XIST","Normal Tissue"
"LIMK1",0.411512095528952,"Low XIST","Normal Tissue"
"LIMS1",-0.484174181131906,"High XIST","Normal Tissue"
"LIMS1",-0.107143118826812,"Low XIST","Normal Tissue"
"LIMS2",-0.612928478546779,"High XIST","Normal Tissue"
"LIMS2",-0.753996200092256,"Low XIST","Normal Tissue"
"LIN7A",-0.0538318162021468,"High XIST","Normal Tissue"
"LIN7A",0.399079825668931,"Low XIST","Normal Tissue"
"LMO7",0.0491875659797872,"High XIST","Normal Tissue"
"LMO7",-0.294410927576818,"Low XIST","Normal Tissue"
"LPP",-0.594099022575125,"High XIST","Normal Tissue"
"LPP",-0.413566673501174,"Low XIST","Normal Tissue"
"LPXN",-0.0843390563604775,"High XIST","Normal Tissue"
"LPXN",0.35468630510079,"Low XIST","Normal Tissue"
"LRP1",-0.5053120079675,"High XIST","Normal Tissue"
"LRP1",-0.363137533998786,"Low XIST","Normal Tissue"
"LYN",0.0468620360768847,"High XIST","Normal Tissue"
"LYN",0.334446886796126,"Low XIST","Normal Tissue"
"MACF1",-0.351055320187028,"High XIST","Normal Tissue"
"MACF1",-0.23467038661696,"Low XIST","Normal Tissue"
"MAGI1",-0.0569151676325711,"High XIST","Normal Tissue"
"MAGI1",-0.0567875751572702,"Low XIST","Normal Tissue"
"MAPK1",-0.199857006978311,"High XIST","Normal Tissue"
"MAPK1",0.459909881851013,"Low XIST","Normal Tissue"
"MAPK8",0.03187007069756,"High XIST","Normal Tissue"
"MAPK8",-0.0633550224895209,"Low XIST","Normal Tissue"
"MAPK8IP3",0.0570858331882205,"High XIST","Normal Tissue"
"MAPK8IP3",0.324733551359557,"Low XIST","Normal Tissue"
"MARCKS",-0.0460458949964296,"High XIST","Normal Tissue"
"MARCKS",0.361720800912472,"Low XIST","Normal Tissue"
"MET",0.0970423165681892,"High XIST","Normal Tissue"
"MET",-0.489978739243092,"Low XIST","Normal Tissue"
"MMP14",-0.261579544499526,"High XIST","Normal Tissue"
"MMP14",-0.649037906274966,"Low XIST","Normal Tissue"
"MPP7",-0.244405055606953,"High XIST","Normal Tissue"
"MPP7",0.125719496806557,"Low XIST","Normal Tissue"
"MSN",-0.40091337997479,"High XIST","Normal Tissue"
"MSN",0.0730428157616101,"Low XIST","Normal Tissue"
"MYH10",-0.426051540743834,"High XIST","Normal Tissue"
"MYH10",-0.353212941412522,"Low XIST","Normal Tissue"
"MYH9",-0.585383386342999,"High XIST","Normal Tissue"
"MYH9",-0.0894380836869273,"Low XIST","Normal Tissue"
"MYO6",0.226075351270829,"High XIST","Normal Tissue"
"MYO6",-0.159617400418515,"Low XIST","Normal Tissue"
"MYO7A",0.0237923453280949,"High XIST","Normal Tissue"
"MYO7A",-0.103804030463549,"Low XIST","Normal Tissue"
"MYOM1",-0.595778460772064,"High XIST","Normal Tissue"
"MYOM1",-0.456178022352936,"Low XIST","Normal Tissue"
"NCK2",-0.275684063048603,"High XIST","Normal Tissue"
"NCK2",0.101247496300644,"Low XIST","Normal Tissue"
"NDEL1",-0.357822767713187,"High XIST","Normal Tissue"
"NDEL1",0.388088590679457,"Low XIST","Normal Tissue"
"NEDD9",-0.411668205986629,"High XIST","Normal Tissue"
"NEDD9",-0.118943494527388,"Low XIST","Normal Tissue"
"NEXN",-0.468562474806174,"High XIST","Normal Tissue"
"NEXN",-0.600848086286653,"Low XIST","Normal Tissue"
"NF2",0.341332536916492,"High XIST","Normal Tissue"
"NF2",-0.0535113957112796,"Low XIST","Normal Tissue"
"NISCH",-0.210961079432746,"High XIST","Normal Tissue"
"NISCH",0.035589737432457,"Low XIST","Normal Tissue"
"NME1",0.428035412499094,"High XIST","Normal Tissue"
"NME1",0.0147039784750095,"Low XIST","Normal Tissue"
"NRP1",-0.227694200825582,"High XIST","Normal Tissue"
"NRP1",-0.706577307199189,"Low XIST","Normal Tissue"
"NRP2",-0.402720601672694,"High XIST","Normal Tissue"
"NRP2",-0.492231071887327,"Low XIST","Normal Tissue"
"NUDT16L1",0.363663238817808,"High XIST","Normal Tissue"
"NUDT16L1",0.0900809874609451,"Low XIST","Normal Tissue"
"NUMB",-0.311602206568367,"High XIST","Normal Tissue"
"NUMB",0.263756332508509,"Low XIST","Normal Tissue"
"OSTF1",0.00830742985449074,"High XIST","Normal Tissue"
"OSTF1",0.37786418387319,"Low XIST","Normal Tissue"
"PABPC1",0.00616988782960169,"High XIST","Normal Tissue"
"PABPC1",0.105633069321612,"Low XIST","Normal Tissue"
"PAK1",0.194358237708626,"High XIST","Normal Tissue"
"PAK1",0.689016954495567,"Low XIST","Normal Tissue"
"PALLD",-0.560627838467867,"High XIST","Normal Tissue"
"PALLD",-0.643618253934868,"Low XIST","Normal Tissue"
"PARD3",-0.229182379749951,"High XIST","Normal Tissue"
"PARD3",-0.485321105468566,"Low XIST","Normal Tissue"
"PARVA",-0.524294308684054,"High XIST","Normal Tissue"
"PARVA",-0.51157810397514,"Low XIST","Normal Tissue"
"PARVB",0.059599684017518,"High XIST","Normal Tissue"
"PARVB",-0.144217310758814,"Low XIST","Normal Tissue"
"PDE4D",-0.19615014275459,"High XIST","Normal Tissue"
"PDE4D",-0.00204852950041173,"Low XIST","Normal Tissue"
"PDPK1",0.0164266139325349,"High XIST","Normal Tissue"
"PDPK1",0.102734511230899,"Low XIST","Normal Tissue"
"PDZD2",-0.23624910692089,"High XIST","Normal Tissue"
"PDZD2",-0.31119432691097,"Low XIST","Normal Tissue"
"PEAK1",-0.43842455687375,"High XIST","Normal Tissue"
"PEAK1",-0.41934674822523,"Low XIST","Normal Tissue"
"PFN1",-0.195640273731213,"High XIST","Normal Tissue"
"PFN1",0.163802693534757,"Low XIST","Normal Tissue"
"PIK3CA",-0.421153490058477,"High XIST","Normal Tissue"
"PIK3CA",-0.078430650078868,"Low XIST","Normal Tissue"
"PIP5K1C",-0.448673784894911,"High XIST","Normal Tissue"
"PIP5K1C",-0.052724359548546,"Low XIST","Normal Tissue"
