"RNAss","XIST","sample_type","bin_XIST"
0,6.8155,"Primary Tumor","High XIST"
0,7.17193735913875,"Normal Tissue","High XIST"
0.00461325304934249,6.3783555540507,"Normal Tissue",NA
0.00462076500220335,3.87489530576721,"Normal Tissue","Low XIST"
0.00602494480743227,7.04112248973182,"Normal Tissue","High XIST"
0.012492221036163,5.37923972304829,"Normal Tissue",NA
0.0126889993774807,6.87284106916702,"Normal Tissue","High XIST"
0.0135761596878949,6.69071040998019,"Normal Tissue","High XIST"
0.0153112951664949,5.45815229915976,"Normal Tissue",NA
0.0154753885194177,6.96001351993352,"Normal Tissue","High XIST"
0.0185053898696302,6.6596534569257,"Normal Tissue","High XIST"
0.0185806864886873,4.80637561812129,"Normal Tissue",NA
0.0196267892853441,6.72929444346607,"Normal Tissue","High XIST"
0.0208267629084641,7.59843220475537,"Normal Tissue","High XIST"
0.0210847648095621,6.94369867124926,"Normal Tissue","High XIST"
0.0211073786574124,6.18766878794532,"Normal Tissue",NA
0.0229956096393796,7.35227300245432,"Normal Tissue","High XIST"
0.0230108302994922,7.08535029299308,"Normal Tissue","High XIST"
0.0233076637182135,7.52748482552452,"Normal Tissue","High XIST"
0.0242252279945703,6.86047867408372,"Normal Tissue","High XIST"
0.0266487840153351,7.15077289699416,"Normal Tissue","High XIST"
0.0266712875152617,6.76687339165707,"Normal Tissue","High XIST"
0.0297522245553393,6.59082654360902,"Normal Tissue","High XIST"
0.0303678461854882,6.60185990967293,"Normal Tissue","High XIST"
0.0305630254772948,6.89604171623439,"Normal Tissue","High XIST"
0.0306610535621404,5.99120436154845,"Normal Tissue",NA
0.0308778783435826,6.94954660525977,"Normal Tissue","High XIST"
0.0319092102932507,6.55751731103461,"Normal Tissue","High XIST"
0.0323013831396313,7.0400266415345,"Normal Tissue","High XIST"
0.0329417387011275,5.90306237912004,"Normal Tissue",NA
0.0332121654659426,6.84173415906004,"Normal Tissue","High XIST"
0.0336792900997894,5.93548332106108,"Normal Tissue",NA
0.0337805950648979,2.53455968460832,"Normal Tissue","Low XIST"
0.0344710615292362,7.52278551450075,"Normal Tissue","High XIST"
0.0345220860476451,7.43547024891529,"Normal Tissue","High XIST"
0.0345257709633399,7.57894625854981,"Normal Tissue","High XIST"
0.034710831832982,7.04331169211681,"Normal Tissue","High XIST"
0.0347435873826782,6.12020676767952,"Normal Tissue",NA
0.035377290472831,6.46973948581207,"Normal Tissue","High XIST"
0.0358814908689958,6.73336789971403,"Normal Tissue","High XIST"
0.0362569542087714,7.00787945304147,"Normal Tissue","High XIST"
0.0365182890827194,7.29371073704851,"Normal Tissue","High XIST"
0.0379654506553504,6.39439409529545,"Normal Tissue","High XIST"
0.0381463237789874,6.50574805012678,"Normal Tissue","High XIST"
0.0383787454890559,6.61103955626041,"Normal Tissue","High XIST"
0.0385652327609494,7.09065233658218,"Normal Tissue","High XIST"
0.0394754089762,7.05529328279154,"Normal Tissue","High XIST"
0.0399655523166283,5.95445224970664,"Normal Tissue",NA
0.0401233645072851,7.86233360031146,"Normal Tissue","High XIST"
0.0401904188912016,6.38043508985065,"Normal Tissue",NA
0.0402031254328326,6.76554800636675,"Normal Tissue","High XIST"
0.0402383358287085,3.42908029352227,"Normal Tissue","Low XIST"
0.040389053108179,6.26042091230092,"Normal Tissue",NA
0.0407775885792059,6.04332262978652,"Normal Tissue",NA
0.0408533545022521,6.86171969147699,"Normal Tissue","High XIST"
0.0409100532613139,7.62425445800743,"Normal Tissue","High XIST"
0.042189191603517,5.74176358479768,"Normal Tissue",NA
0.0421910449018047,5.34024179277852,"Normal Tissue",NA
0.0424980172182234,7.05203543229598,"Normal Tissue","High XIST"
0.0425273381849666,6.87160958575801,"Normal Tissue","High XIST"
0.0425605606691258,6.10979931938558,"Normal Tissue",NA
0.0427417363079643,6.81507582970294,"Normal Tissue","High XIST"
0.0437206814229433,6.76156452911169,"Normal Tissue","High XIST"
0.0437542553085146,5.28728758759697,"Normal Tissue",NA
0.0444209839628936,7.106442547264,"Normal Tissue","High XIST"
0.0445528209990079,6.67243948597119,"Normal Tissue","High XIST"
0.044705337807451,7.31742165884649,"Normal Tissue","High XIST"
0.0448984449567088,7.44956962799375,"Normal Tissue","High XIST"
0.045268767610934,6.93429238995354,"Normal Tissue","High XIST"
0.0453787693010452,6.10288904485995,"Normal Tissue",NA
0.04562808,7.1401,"Primary Tumor",NA
0.0459663537065489,3.63470942279072,"Normal Tissue","Low XIST"
0.0465492867504739,6.14488253133923,"Normal Tissue",NA
0.0467832001112491,6.28523574444536,"Normal Tissue",NA
0.0469484727707903,7.11062424464577,"Normal Tissue","High XIST"
0.0469728241792491,5.87703254115969,"Normal Tissue",NA
0.04722103,8.033,"Primary Tumor","High XIST"
0.0472316899602921,4.83496397874682,"Normal Tissue",NA
0.0473697460066607,7.28910592678335,"Normal Tissue","High XIST"
0.0474248627010462,5.57927067584913,"Normal Tissue",NA
0.0474367369779162,5.47381937513393,"Normal Tissue",NA
0.0478111200941179,7.50303859873413,"Normal Tissue","High XIST"
0.0480861433194149,7.07361675096607,"Normal Tissue","High XIST"
0.0481980203354931,5.715371754082,"Normal Tissue",NA
0.048608660301573,5.77349530234493,"Normal Tissue",NA
0.048609489847106,7.01011964578961,"Normal Tissue","High XIST"
0.0486178883791586,6.0691221196246,"Normal Tissue",NA
